club_id,club_name,club_name_ascii,league,country,city,stadium,city_lat,city_lon,city_source_url,city_geo_source,city_match_confidence,manual_review_flag,notes,city_key,city_review_notes
c_al_duhail_917aca16,Al Duhail,Al Duhail,Qatar Stars League,Qatar,Doha,Lekhwiya Sports Stadium,25.28545,51.53096,https://www.geonames.org/290030,geonames_searchJSON,high,False,,qatar__doha__d0c76c19,GeoNames name_equals match; selected 'Doha'; admin 'بَلَدِيَّة اَلدَّوْحَة'; feature PPLC; population 344939; 5.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_ettifaq_807c8264,Al-Ettifaq Club,Al-Ettifaq Club,Saudi Pro League,Saudi Arabia,Dammam,Al-Ettifaq Club Stadium,26.43442,50.10326,https://www.geonames.org/110336,geonames_searchJSON,high,False,Merged Al Etiffaq + Al Ettifaq,saudi-arabia__dammam__72268880,GeoNames name_equals match; selected 'Dammam'; admin 'المنطقة الشرقية'; feature PPLA; population 1252523; 12.1 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_faisaly_d08621cd,Al-Faisaly SC,Al-Faisaly SC,Jordanian Pro League,Jordan,Amman,Amman International Stadium,31.95522,35.94503,https://www.geonames.org/250441,geonames_searchJSON,low,False,,jordan__amman__870dc7a5,GeoNames name_equals match; selected 'Amman'; admin 'محافظة عمّان'; feature PPLC; population 1275857; 564.9 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Manually verified.
c_al_fayha_22bab1f3,Al-Fayha Club,Al-Fayha Club,Saudi Pro League,Saudi Arabia,Al Majma'ah,Prince Salman Bin Abdulaziz Sport City Stadium,25.91097,45.35665,https://www.geonames.org/109194,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Al Fayha' to 'Al-Fayha Club'.,saudi-arabia__al-majma-ah__e112375f,GeoNames name_equals match; selected 'Al Majma‘ah'; admin 'منطقة الرياض‎'; feature PPLA2; 2.9 km from trusted local centroid; top-vs-next score margin 83.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_gharafa_cf3f2df9,Al Gharafa,Al Gharafa,Qatar Stars League,Qatar,Doha,Thani bin Jassim Stadium,25.28545,51.53096,https://www.geonames.org/290030,geonames_searchJSON,high,False,,qatar__doha__d0c76c19,GeoNames name_equals match; selected 'Doha'; admin 'بَلَدِيَّة اَلدَّوْحَة'; feature PPLC; population 344939; 5.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_hilal_67047244,Al Hilal SFC,Al Hilal SFC,Saudi Pro League,Saudi Arabia,Riyadh,Kingdom Arena,24.68773,46.72185,https://www.geonames.org/108410,geonames_searchJSON,low,False,,saudi-arabia__riyadh__e7a5cde7,GeoNames name_equals match; selected 'Riyadh'; admin 'منطقة الرياض‎'; feature PPLC; population 4205961; 288.0 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_al_hussein_1fe1435d,Al-Hussein SC (Irbid),Al-Hussein SC (Irbid),Jordanian Pro League,Jordan,Irbid,Al-Hassan Stadium,32.55556,35.85,https://www.geonames.org/248946,geonames_searchJSON,high,False,,jordan__irbid__f5b0aa53,GeoNames name_equals match; selected 'Irbid'; admin 'اربد'; feature PPLA; population 569068; 2.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_ittihad_715274c9,Al-Ittihad Club,Al-Ittihad Club,Saudi Pro League,Saudi Arabia,Jeddah,King Abdullah Sports City Stadium,21.49012,39.18624,https://www.geonames.org/105343,geonames_searchJSON,high,False,,saudi-arabia__jeddah__ef192a1c,GeoNames name_equals match; selected 'Jeddah'; admin 'مكة المكرّمة'; feature PPL; population 4697000; 30.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_jazira_3cf19a97,Al Jazira,Al Jazira,UAE Pro League,United Arab Emirates,Abu Dhabi,Mohammed Bin Zayed Stadium,24.45118,54.39696,https://www.geonames.org/292968,geonames_searchJSON,high,False,,united-arab-emirates__abu-dhabi__2f0f3c6b,GeoNames name_equals match; selected 'Abu Dhabi'; admin 'أبو ظبي'; feature PPLC; population 1807000; 15.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_karma_f9b63d11,Al-Karma SC,Al-Karma SC,Iraqi First Division League,Iraq,Fallujah,Al-Fallujah Stadium,33.34913,43.78599,https://www.geonames.org/99454,geonames_searchJSON,low,False,Step 5 manual correction: Aymen Hussein reassigned from source-listed Al-Khor to Al-Karma SC. Step 5 manual review canonical rename from 'Al-Karma' to 'Al-Karma SC'.,iraq__fallujah__b131d0a2,GeoNames name_equals match; selected 'Al Fallūjah'; admin 'الانبار'; feature PPLA2; population 190159; 2.3 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_al_najma_9b74810f,Al-Najma SC (Saudi Arabia),Al-Najma SC (Saudi Arabia),Saudi First Division League,Saudi Arabia,Unaizah,Al-Najma Club Stadium,26.08793,43.96368,https://www.geonames.org/101732,geonames_searchJSON,medium,False,Step 5 manual review canonical rename from 'Al Najma' to 'Al-Najma SC (Saudi Arabia)'.,saudi-arabia__unaizah__ca294e3d,GeoNames name_equals match; selected 'Unaizah'; admin 'القصيم'; feature PPL; population 183319; top-vs-next score margin 12.8; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Manually corrected.
c_al_nasr_0bf2f525,Al-Nasr SC (Dubai),Al-Nasr SC (Dubai),UAE Pro League,United Arab Emirates,Dubai,Al-Maktoum Stadium,25.07725,55.30927,https://www.geonames.org/292223,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Al-Nasr' to 'Al-Nasr SC (Dubai)'.,united-arab-emirates__dubai__454503b5,GeoNames name_equals match; selected 'Dubai'; admin 'دبي'; feature PPLA; population 3790000; 20.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_nassr_4ed92392,Al-Nassr FC,Al-Nassr FC,Saudi Pro League,Saudi Arabia,Riyadh,King Saud University Stadium,24.68773,46.72185,https://www.geonames.org/108410,geonames_searchJSON,low,False,Step 5 manual review canonical rename from 'Al Nassr' to 'Al-Nassr FC'.,saudi-arabia__riyadh__e7a5cde7,GeoNames name_equals match; selected 'Riyadh'; admin 'منطقة الرياض‎'; feature PPLC; population 4205961; 288.0 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_al_qadsiah_2c418904,Al Qadsiah FC,Al Qadsiah FC,Saudi Pro League,Saudi Arabia,Khobar,Prince Saud bin Jalawi Sports City Stadium,26.27944,50.20833,https://www.geonames.org/109323,geonames_searchJSON,high,False,,saudi-arabia__khobar__e4258904,GeoNames name_equals match; selected 'Khobar'; admin 'المنطقة الشرقية'; feature PPL; population 165799; 10.1 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_quwa_al_jawiya_d23a171e,Al-Quwa Al-Jawiya,Al-Quwa Al-Jawiya,Iraq Stars League,Iraq,Baghdad,Al-Shaab Stadium,33.34058,44.40088,https://www.geonames.org/98182,geonames_searchJSON,high,False,,iraq__baghdad__3a5c37cd,GeoNames name_equals match; selected 'Baghdad'; admin 'بغداد'; feature PPLC; population 7216000; 2.0 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_rayyan_e5871040,Al-Rayyan SC,Al-Rayyan SC,Qatar Stars League,Qatar,Al Rayyan,Ahmad bin Ali Stadium,25.29194,51.42444,https://www.geonames.org/289888,geonames_searchJSON,low,False,,qatar__al-rayyan__29f87b48,GeoNames name_equals match; selected 'Ar Rayyān'; admin 'بَلَدِيَّة اَلرَّيَّان'; feature PPLA; population 272465; 9.4 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_al_riyadh_679deb94,Al-Riyadh SC,Al-Riyadh SC,Saudi Pro League,Saudi Arabia,Riyadh,Prince Turki bin Abdul Aziz Stadium,24.68773,46.72185,https://www.geonames.org/108410,geonames_searchJSON,low,False,,saudi-arabia__riyadh__e7a5cde7,GeoNames name_equals match; selected 'Riyadh'; admin 'منطقة الرياض‎'; feature PPLC; population 4205961; 288.0 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_al_sadd_a599a00e,Al Sadd SC,Al Sadd SC,Qatar Stars League,Qatar,Doha,Jassim Bin Hamad Stadium,25.28545,51.53096,https://www.geonames.org/290030,geonames_searchJSON,high,False,,qatar__doha__d0c76c19,GeoNames name_equals match; selected 'Doha'; admin 'بَلَدِيَّة اَلدَّوْحَة'; feature PPLC; population 344939; 5.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_sailiaya_6158b2fd,Al-Sailiya SC,Al-Sailiya SC,Qatar Stars League,Qatar,Doha,Hamad bin Khalifa Stadium,25.28545,51.53096,https://www.geonames.org/290030,geonames_searchJSON,high,False,,qatar__doha__d0c76c19,GeoNames name_equals match; selected 'Doha'; admin 'بَلَدِيَّة اَلدَّوْحَة'; feature PPLC; population 344939; 5.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_shabab_e27f5149,Al Shabab Club,Al Shabab Club,Saudi Pro League,Saudi Arabia,Riyadh,Al-Shabab Club Stadium,24.68773,46.72185,https://www.geonames.org/108410,geonames_searchJSON,low,False,Step 5 manual review canonical rename from 'Al-Shabab' to 'Al Shabab Club'.,saudi-arabia__riyadh__e7a5cde7,GeoNames name_equals match; selected 'Riyadh'; admin 'منطقة الرياض‎'; feature PPLC; population 4205961; 288.0 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_al_shamal_91835f7b,Al-Shamal SC,Al-Shamal SC,Qatar Stars League 2,Qatar,Madinat ash Shamal,Al-Shamal SC Stadium,26.12933,51.2009,https://www.geonames.org/289739,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Al Shamal' to 'Al-Shamal SC'.,qatar__madinat-ash-shamal__5988c9dd,GeoNames name_equals match; selected 'Madīnat ash Shamāl'; admin 'بلدية مدينة الشمال'; feature PPLA; population 5267; 2.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_shorta_03f6bef7,Al-Shorta SC,Al-Shorta SC,Syrian Premier League,Syria,Damascus,Abbasiyyin Stadium,33.5102,36.29128,https://www.geonames.org/170654,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Al-Shorta' to 'Al-Shorta SC'.,syria__damascus__24aa259a,GeoNames name_equals match; selected 'Damascus'; admin 'دمشق'; feature PPLC; population 1569394; 3.0 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_talaba_856167fb,Al-Talaba,Al-Talaba,Iraq Stars League,Iraq,Baghdad,Al Talaba Stadium,33.34058,44.40088,https://www.geonames.org/98182,geonames_searchJSON,high,False,,iraq__baghdad__3a5c37cd,GeoNames name_equals match; selected 'Baghdad'; admin 'بغداد'; feature PPLC; population 7216000; 2.0 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_ula_28613b64,Al-Ula FC,Al-Ula FC,Saudi First Division League,Saudi Arabia,Medina,Prince Mohammed bin Abdul Aziz Stadium,24.46861,39.61417,https://www.geonames.org/109223,geonames_searchJSON,low,False,,saudi-arabia__medina__27a4b246,GeoNames name_equals match retained for Medina Saudi Arabia; canonical stadium label has already been updated.
c_al_wahda_7ae987ab,Al Wahda FC,Al Wahda FC,UAE Pro League,United Arab Emirates,Abu Dhabi,Al Nahyan Stadium,24.45118,54.39696,https://www.geonames.org/292968,geonames_searchJSON,high,False,Step 5 manual review canonical rename from 'Al-Wahda' to 'Al Wahda FC'.,united-arab-emirates__abu-dhabi__2f0f3c6b,GeoNames name_equals match; selected 'Abu Dhabi'; admin 'أبو ظبي'; feature PPLC; population 1807000; 15.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_wakrah_abf60aa2,Al Wakrah,Al Wakrah,Qatar Stars League,Qatar,Al Wakrah,Al Janoub Stadium,25.17151,51.60337,https://www.geonames.org/289915,geonames_searchJSON,high,False,,qatar__al-wakrah__912ee19a,GeoNames name_equals match; selected 'Al Wakrah'; admin 'بَلَدِيَّة اَلْوَكْرَة'; feature PPLA; population 26436; 3.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_al_wehdat_2cc29034,Al-Wehdat SC,Al-Wehdat SC,Jordan Premier League,Jordan,Amman,King Abdullah II Stadium,31.95522,35.94503,https://www.geonames.org/250441,geonames_searchJSON,low,False,Step 5 manual review canonical rename from 'Al-Wehdat' to 'Al-Wehdat SC'.,jordan__amman__870dc7a5,GeoNames name_equals match; selected 'Amman'; admin 'محافظة عمّان'; feature PPLC; population 1275857; 564.9 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Manually verified.
c_al_zawraa_7bba0fc0,Al-Zawraa,Al-Zawraa,Iraq Stars League,Iraq,Baghdad,Al-Zawraa Stadium,33.34058,44.40088,https://www.geonames.org/98182,geonames_searchJSON,high,False,,iraq__baghdad__3a5c37cd,GeoNames name_equals match; selected 'Baghdad'; admin 'بغداد'; feature PPLC; population 7216000; 2.0 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_alanyaspor_661d3784,Alanyaspor,Alanyaspor,Süper Lig,Turkey,Alanya,Alanya Oba Stadium,36.54375,31.99982,https://www.geonames.org/324190,geonames_searchJSON,high,False,,turkey__alanya__5c9fff14,GeoNames name_equals match; selected 'Alanya'; admin 'Antalya'; feature PPLA2; population 364180; 7.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_albirex_niigata_cab00434,Albirex Niigata,Albirex Niigata,J2 League,Japan,Niigata,Denka Big Swan Stadium,37.92259,139.04125,https://www.geonames.org/1855431,geonames_searchJSON,high,False,,japan__niigata__2b37e024,GeoNames name_equals match; selected 'Niigata'; admin '新潟県'; feature PPLA; population 797591; 4.7 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_almere_11b3096f,Almere,Almere,Eerste Divisie,Netherlands,Almere,Yanmar Stadion,52.37025,5.21413,https://www.geonames.org/2759879,geonames_searchJSON,high,False,,netherlands__almere__06da8b29,GeoNames name_equals match; selected 'Almere Stad'; admin 'Flevoland'; feature PPL; population 176432; 3.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_anderlecht_b0025a96,Anderlecht,Anderlecht,Belgian Pro League,Belgium,Anderlecht,Lotto Park,50.83619,4.31454,https://www.geonames.org/2803201,geonames_searchJSON,high,False,,belgium__anderlecht__9ef158b9,GeoNames name_equals match; selected 'Anderlecht'; admin 'Brussel'; feature PPLA4; population 160553; 1.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_angers_df67ea45,Angers,Angers,Ligue 1,France,Angers,Stade Raymond Kopa,47.47156,-0.55202,https://www.geonames.org/3037656,geonames_searchJSON,high,False,,france__angers__31a56b8f,GeoNames name_equals match; selected 'Angers'; admin 'Pays de la Loire'; feature PPLA2; population 168279; 2.1 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_antwerp_7961b08d,Antwerp,Antwerp,Belgian Pro League,Belgium,Antwerp,Stadion Broodstraat,51.22047,4.40026,https://www.geonames.org/2803138,geonames_searchJSON,low,False,,belgium__antwerp__3754ba80,GeoNames name_equals match; selected 'Antwerpen'; admin 'Vlaanderen'; feature PPL; population 529247; 5.1 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Verified.
c_apoel_nicosia_af3c6796,APOEL FC,APOEL FC,Cypriot First Division,Cyprus,Nicosia,GSP Stadium,35.17284,33.35397,https://www.geonames.org/146268,geonames_searchJSON,high,False,,cyprus__nicosia__9acebf3a,GeoNames name_equals match; selected 'Nicosia'; admin 'Επαρχία Λευκωσίας'; feature PPLC; population 200452; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_apollon_limassol_b6137677,Apollon Limassol FC,Apollon Limassol FC,Cypriot First Division,Cyprus,Kolossi,Alphamega Stadium,34.66865,32.93375,https://www.geonames.org/146451,geonames_searchJSON,high,False,,cyprus__kolossi__faffbad3,GeoNames name_equals match; selected 'Kolossi'; admin 'Επαρχία Λάρνακας'; feature PPL; population 6478; 2.8 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_aris_limassol_d501bdb4,Aris Limassol FC,Aris Limassol FC,Cypriot First Division,Cyprus,Kolossi,Alphamega Stadium,34.66865,32.93375,https://www.geonames.org/146451,geonames_searchJSON,high,False,,cyprus__kolossi__faffbad3,GeoNames name_equals match; selected 'Kolossi'; admin 'Επαρχία Λάρνακας'; feature PPL; population 6478; 2.8 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_arsenal_93d10937,Arsenal F.C.,Arsenal F.C.,Premier League,England,London,Emirates Stadium,51.50853,-0.12574,https://www.geonames.org/2643743,geonames_searchJSON,high,False,,england__london__a0c2be3a,GeoNames name_equals match; selected 'London'; admin 'England'; feature PPLC; population 8961989; 3.2 km from trusted local centroid; top-vs-next score margin 95.3; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_as_far_8343a091,AS FAR,AS FAR,Botola Pro,Morocco,Rabat,Prince Moulay Abdellah Stadium,34.01325,-6.83255,https://www.geonames.org/2538475,geonames_searchJSON,high,False,,morocco__rabat__0c12dbca,GeoNames name_equals match; selected 'Rabat'; admin 'Rabat-Salé-Kénitra'; feature PPLC; population 1655753; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
c_as_monaco_6b2106c8,AS Monaco,AS Monaco,Ligue 1,Monaco,Fontvieille,Stade Louis II,43.72687,7.41766,https://www.geonames.org/3017814,geonames_searchJSON,high,False,Merged aliases/source variants: AS Monaco; Monaco.,monaco__fontvieille__33b697ea,GeoNames name_equals match; selected 'Fontvieille'; feature PPLX; population 3602; 0.2 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.
