club_id,club_name,club_name_ascii,qid,search_query,search_rank,search_label,search_description,wikidata_id,detail_status,wikidata_url,wikidata_label,wikidata_description,instance_of,country,league,stadium_wikidata_id,stadium,city,stadium_lat,stadium_lon,club_lat,club_lon,wikipedia_url,candidate_score
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q2478275,AC Milan,3,Milan TV,subscription-based television channel operated by Italian football club AC Milan,Q2478275,ok,https://www.wikidata.org/wiki/Q2478275,Milan TV,subscription-based television channel operated by Italian football club AC Milan,specialty channel,Italy,,,,,,,,,https://en.wikipedia.org/wiki/Milan_TV,60
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q935653,Milan football club,2,Milan Football Club 1921-1922,season of football team,Q935653,ok,https://www.wikidata.org/wiki/Q935653,Milan Football Club 1921-1922,season of football team,association football team season,Italy,,,,,,,,,,55
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q941371,Milan football club,3,Milan Football Club 1922-1923,season of football team,Q941371,ok,https://www.wikidata.org/wiki/Q941371,Milan Football Club 1922-1923,season of football team,association football team season,Italy,,,,,,,,,,54
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q646086,Milan football club,4,Milan Football Club 1928-1929,season of football team,Q646086,ok,https://www.wikidata.org/wiki/Q646086,Milan Football Club 1928-1929,season of football team,association football team season,Italy,,,,,,,,,,53
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q526152,Milan football club,5,Milan Football Club 1932-1933,season of football team,Q526152,ok,https://www.wikidata.org/wiki/Q526152,Milan Football Club 1932-1933,season of football team,association football team season,Italy,,,,,,,,,,52
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q108005970,Milan,6,Milán,male given name,Q108005970,ok,https://www.wikidata.org/wiki/Q108005970,Milán,male given name,male given name,,,,,,,,,,,52
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q587550,Milan football club,6,1974–75 A.C. Milan season,season of football team,Q587550,ok,https://www.wikidata.org/wiki/Q587550,1974–75 A.C. Milan season,season of football team,association football team season,Italy,,,,,,,,,https://en.wikipedia.org/wiki/1974%E2%80%9375_AC_Milan_season,52
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q14626481,AC Milan,7,AC Milanese DG,"ice hockey team in Milan, Italy",Q14626481,ok,https://www.wikidata.org/wiki/Q14626481,AC Milanese DG,"ice hockey team in Milan, Italy",ice hockey team,Italy,,,,,,,,,https://en.wikipedia.org/wiki/AMDG_Milano,49
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q862108,AC Milan,4,Derby della Madonnina,"Club football rivalry match between the two clubs of the city of Milan, Inter and AC Milan",Q862108,ok,https://www.wikidata.org/wiki/Q862108,Derby della Madonnina,"Club football rivalry match between the two clubs of the city of Milan, Inter and AC Milan",association football derby,Italy,,,,,,,,,https://en.wikipedia.org/wiki/Derby_della_Madonnina,46
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q3857619,Milan football club,7,1920–21 A.C. Milan season,season of football team,Q3857619,ok,https://www.wikidata.org/wiki/Q3857619,1920–21 A.C. Milan season,season of football team,association football team season,Italy,,,,,,,,,,46
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q3857629,Milan football club,8,1934–35 A.C. Milan season,season of football team,Q3857629,ok,https://www.wikidata.org/wiki/Q3857629,1934–35 A.C. Milan season,season of football team,association football team season,Italy,,,,,,,,,,45
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q3857623,Milan football club,9,1926–27 A.C. Milan season,season of football team,Q3857623,ok,https://www.wikidata.org/wiki/Q3857623,1926–27 A.C. Milan season,season of football team,association football team season,Italy,,,,,,,,,,45
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q3857628,Milan football club,10,1933–34 A.C. Milan season,season of football team,Q3857628,ok,https://www.wikidata.org/wiki/Q3857628,1933–34 A.C. Milan season,season of football team,association football team season,Italy,,,,,,,,,,45
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q17623939,AC Milan,5,Casa Milan,headquarters of AC Milan,Q17623939,ok,https://www.wikidata.org/wiki/Q17623939,Casa Milan,headquarters of AC Milan,Palazzo,Italy,,,,,,,45.486666666,9.148333333,,40
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q123734693,AC Milan,10,"AC Milan vs. AC Monza, 22 Oct 2022",,Q123734693,ok,https://www.wikidata.org/wiki/Q123734693,"AC Milan vs. AC Monza, 22 Oct 2022",,association football match,,,,,,,,,,,27
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q132455659,AC Milan,9,"AC Milan v Juventus FC, 23 November 2024",,Q132455659,ok,https://www.wikidata.org/wiki/Q132455659,"AC Milan v Juventus FC, 23 November 2024",,association football match,,,,,,,,,,,24
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q30947905,AC Milan,8,AC Milan Academy Hong Kong,,Q30947905,ok,https://www.wikidata.org/wiki/Q30947905,AC Milan Academy Hong Kong,,,,,,,,,,,,,16
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q46210,Milan,9,University of Milan,"university in Milan, Italy",Q46210,ok,https://www.wikidata.org/wiki/Q46210,University of Milan,"university in Milan, Italy",public research university,Italy,,,,,,,45.4600626,9.194659978,https://en.wikipedia.org/wiki/University_of_Milan,11
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q93166,Milan,8,Milan Kundera,Franco-Czechoslovak poet and novelist (1929—2023),Q93166,ok,https://www.wikidata.org/wiki/Q93166,Milan Kundera,Franco-Czechoslovak poet and novelist (1929—2023),human,,,,,,,,,,https://en.wikipedia.org/wiki/Milan_Kundera,10
c_ac_milan_118eeb6e,AC Milan,AC Milan,Q12771695,Milan,10,Milan Thomka Mitrovský,Slovak writerand painter (1875-1943),Q12771695,ok,https://www.wikidata.org/wiki/Q12771695,Milan Thomka Mitrovský,Slovak writerand painter (1875-1943),human,,,,,,,,,,,0
c_accra_hearts_of_oak_sc_5dd04a93,Accra Hearts of Oak S.C.,Accra Hearts of Oak S.C.,Q339560,Accra Hearts of Oak S.C,1,Accra Hearts of Oak SC,"association football club in Accra, Ghana",Q339560,ok,https://www.wikidata.org/wiki/Q339560,Accra Hearts of Oak SC,"association football club in Accra, Ghana",association football club,Ghana,Ghana Premier League,Q339568,Accra Sports Stadium,Korle-Klottey Municipal District,5.5516,-0.19184,,,https://en.wikipedia.org/wiki/Accra_Hearts_of_Oak_S.C.,100
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q201584,AEK Athens,1,AEK Athens F.C.,Association football team in Greece,Q201584,ok,https://www.wikidata.org/wiki/Q201584,AEK Athens F.C.,Association football team in Greece,men's association football team,Greece,Super League Greece,Q15284032,Agia Sophia Stadium,Nea Filadelfeia-Nea Chalkidona Municipality,38.03715,23.74154,,,https://en.wikipedia.org/wiki/AEK_Athens_F.C.,100
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q128199480,AEK Athens,6,AEK Athens F.C. (women),Greek women's football club (e. 2021),Q128199480,ok,https://www.wikidata.org/wiki/Q128199480,AEK Athens F.C. (women),Greek women's football club (e. 2021),association football club,Greece,Greek A Women's Football League,,,,,,,,https://en.wikipedia.org/wiki/AEK_Athens_F.C._(women),79
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q107847753,AEK Athens,7,AEK Athens B F.C.,reserve association football team in Greece,Q107847753,ok,https://www.wikidata.org/wiki/Q107847753,AEK Athens B F.C.,reserve association football team in Greece,men's association football team,Greece,,,,,,,,,https://en.wikipedia.org/wiki/AEK_Athens_B_F.C.,74
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q1982491,AEK Athens,2,AEK B.C.,"professional basketball team based in Athens, Greece",Q1982491,ok,https://www.wikidata.org/wiki/Q1982491,AEK B.C.,"professional basketball team based in Athens, Greece",basketball team,Greece,Greek Men's Basketball League,Q2707712,Ano Liosia Olympic Hall,Attica Region,38.081666666,23.686666666,,,https://en.wikipedia.org/wiki/AEK_B.C.,70
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q3557952,AEK Athens,3,AEK Athens H.C.,handball department of the Greek sports club A.E.K.,Q3557952,ok,https://www.wikidata.org/wiki/Q3557952,AEK Athens H.C.,handball department of the Greek sports club A.E.K.,handball team,Greece,,,,,,,,,https://en.wikipedia.org/wiki/AEK_H.C.,63
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q4651312,AEK Athens,9,AEK Athens Futsal,football club,Q4651312,ok,https://www.wikidata.org/wiki/Q4651312,AEK Athens Futsal,football club,futsal club,Greece,Hellenic Futsal Super League,,,,,,,,https://en.wikipedia.org/wiki/AEK_Futsal,53
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q948554,AEK Athens football club,1,AEK Athens F.C. in European football,Greek football club in European competitions,Q948554,ok,https://www.wikidata.org/wiki/Q948554,AEK Athens F.C. in European football,Greek football club in European competitions,Wikimedia list article,,,,,,,,,,https://en.wikipedia.org/wiki/AEK_Athens_F.C._in_European_football,49
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q5774858,AEK Athens,8,History of AEK Athens F.C.,History of a Greek football club,Q5774858,ok,https://www.wikidata.org/wiki/Q5774858,History of AEK Athens F.C.,History of a Greek football club,aspect of history,,,,,,,,,,https://en.wikipedia.org/wiki/History_of_AEK_Athens_F.C.,49
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q44582723,AEK Athens,5,AEK Athens (men's water polo),,Q44582723,ok,https://www.wikidata.org/wiki/Q44582723,AEK Athens (men's water polo),,,,,,,,,,,,https://en.wikipedia.org/wiki/AEK_Athens_(men%27s_water_polo),32
c_aek_athens_72925ed6,AEK Athens,AEK Athens,Q17667186,AEK Athens,10,AEK Athens fans damage ferry-boat in Greece,Wikinews article,Q17667186,ok,https://www.wikidata.org/wiki/Q17667186,AEK Athens fans damage ferry-boat in Greece,Wikinews article,Wikinews article,,,,,,,,,,,17
c_ael_431116e5,AEL,AEL,Q14880740,AEL,7,Aeletes,genus of insects,Q14880740,ok,https://www.wikidata.org/wiki/Q14880740,Aeletes,genus of insects,taxon,,,,,,,,,,https://en.wikipedia.org/wiki/Aeletes,33
c_ael_431116e5,AEL,AEL,Q117413,AEL,6,Aelurillus,genus of arachnids,Q117413,ok,https://www.wikidata.org/wiki/Q117413,Aelurillus,genus of arachnids,taxon,,,,,,,,,,https://en.wikipedia.org/wiki/Aelurillus,28
c_ael_431116e5,AEL,AEL,Q3843804,AEL,1,acute erythroid leukemia,rare form of acute myeloid leukemia (less than 5% of AML cases) where the myeloproliferation is of erythroblastic precursors.,Q3843804,ok,https://www.wikidata.org/wiki/Q3843804,acute erythroid leukemia,rare form of acute myeloid leukemia (less than 5% of AML cases) where the myeloproliferation is of erythroblastic precursors.,class of disease,,,,,,,,,,https://en.wikipedia.org/wiki/Acute_erythroid_leukemia,22
c_ael_431116e5,AEL,AEL,Q380847,AEL,8,Aelurostrongylus abstrusus,species of worm,Q380847,ok,https://www.wikidata.org/wiki/Q380847,Aelurostrongylus abstrusus,species of worm,taxon,,,,,,,,,,https://en.wikipedia.org/wiki/Aelurostrongylus_abstrusus,14
c_ael_431116e5,AEL,AEL,Q1218,AEL,3,Jerusalem,"city in the Middle East, holy to the three Abrahamic religions",Q1218,ok,https://www.wikidata.org/wiki/Q1218,Jerusalem,"city in the Middle East, holy to the three Abrahamic religions",city,Israel,,,,,,,31.776679,35.234156,https://en.wikipedia.org/wiki/Jerusalem,12
c_ael_431116e5,AEL,AEL,Q47546524,AEL,5,"Aelbert Cuyp catalog raisonné, 1975",catalog of Cuyp paintings by Stephen Reiss,Q47546524,ok,https://www.wikidata.org/wiki/Q47546524,"Aelbert Cuyp catalog raisonné, 1975",catalog of Cuyp paintings by Stephen Reiss,catalogue raisonné,,,,,,,,,,,10
c_ael_431116e5,AEL,AEL,Q313194,AEL,2,Aelbert Cuyp,Dutch landscape painter (1620-1691),Q313194,ok,https://www.wikidata.org/wiki/Q313194,Aelbert Cuyp,Dutch landscape painter (1620-1691),human,,,,,,,,,,https://en.wikipedia.org/wiki/Aelbert_Cuyp,9
c_ael_431116e5,AEL,AEL,Q277565,AEL,9,labor education camp,penal camp (Straflager) run by the Secret State Police (Gestapo) for disciplining and terrorising forced laborers,Q277565,ok,https://www.wikidata.org/wiki/Q277565,labor education camp,penal camp (Straflager) run by the Secret State Police (Gestapo) for disciplining and terrorising forced laborers,,Nazi Germany,,,,,,,,,,8
c_ael_431116e5,AEL,AEL,Q232981,AEL,10,Aelia Eudoxia,Empress consort of the Byzantine Emperor Arcadius,Q232981,ok,https://www.wikidata.org/wiki/Q232981,Aelia Eudoxia,Empress consort of the Byzantine Emperor Arcadius,human,,,,,,,,,,https://en.wikipedia.org/wiki/Aelia_Eudoxia,2
c_ael_431116e5,AEL,AEL,Q5580,AEL,4,Albrecht Dürer,"German painter, printmaker, mathematician, and theorist (1471-1528)",Q5580,ok,https://www.wikidata.org/wiki/Q5580,Albrecht Dürer,"German painter, printmaker, mathematician, and theorist (1471-1528)",human,,,,,,,,,,https://en.wikipedia.org/wiki/Albrecht_D%C3%BCrer,0
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q291471,AEL Limassol,1,AEL Limassol FC,professional association football club based in Limassol,Q291471,ok,https://www.wikidata.org/wiki/Q291471,AEL Limassol FC,professional association football club based in Limassol,association football club,Cyprus,Cypriot First Division,Q60417957,Limassol Arena,Kolossi,34.693194,32.939278,,,https://en.wikipedia.org/wiki/AEL_Limassol,100
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q13410415,AEL Limassol,2,AEL Limassol,"basketball team in Limassol, Cyprus",Q13410415,ok,https://www.wikidata.org/wiki/Q13410415,AEL Limassol,"basketball team in Limassol, Cyprus",basketball club,Cyprus,Cyprus Basketball Division 1,Q7030513,Nicos Solomonides,Limassol Municipality,34.669903,33.026553,,,https://en.wikipedia.org/wiki/AEL_Limassol_B.C.,100
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q13561419,AEL Limassol,3,AEL Limassol,Cypriot sports club based in the city of Limassol,Q13561419,ok,https://www.wikidata.org/wiki/Q13561419,AEL Limassol,Cypriot sports club based in the city of Limassol,multisports club,Cyprus,,,,,,,,,,82
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q32324036,AEL Limassol,9,AEL Limassol,Wikimedia disambiguation page,Q32324036,ok,https://www.wikidata.org/wiki/Q32324036,AEL Limassol,Wikimedia disambiguation page,Wikimedia disambiguation page,,,,,,,,,,,70
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q20652364,AEL Limassol,4,AEL Limassol VC,,Q20652364,ok,https://www.wikidata.org/wiki/Q20652364,AEL Limassol VC,,volleyball team,Cyprus,Cyprus Women's Volleyball Division 1,Q7030513,Nicos Solomonides,Limassol Municipality,34.669903,33.026553,,,,67
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q2819139,AEL Limassol,6,AEL Limassol (women's basketball),"basketball team in Limassol, Cyprus",Q2819139,ok,https://www.wikidata.org/wiki/Q2819139,AEL Limassol (women's basketball),"basketball team in Limassol, Cyprus",sports club,Cyprus,,,,,,,,,https://en.wikipedia.org/wiki/AEL_Limassol_B.C._(women),59
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q137703885,AEL Limassol,7,AEL Limassol Rugby,independent rugby union club in Cyprus,Q137703885,ok,https://www.wikidata.org/wiki/Q137703885,AEL Limassol Rugby,independent rugby union club in Cyprus,sports team,,,,,,,,,,https://en.wikipedia.org/wiki/AEL_Limassol_Rugby,57
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q27654878,AEL Limassol,5,AEL Limassol VC,,Q27654878,ok,https://www.wikidata.org/wiki/Q27654878,AEL Limassol VC,,volleyball team,Cyprus,,,,,,,,,,43
c_ael_limassol_2cf0940b,AEL Limassol,AEL Limassol,Q18107932,AEL Limassol,8,AEL Limassol in European football,,Q18107932,ok,https://www.wikidata.org/wiki/Q18107932,AEL Limassol in European football,,,,,,,,,,,,,24
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q19568,AFC Bournemouth,1,AFC Bournemouth,"association football club in Bournemouth, England",Q19568,ok,https://www.wikidata.org/wiki/Q19568,AFC Bournemouth,"association football club in Bournemouth, England",association football club,United Kingdom,Premier League,Q619094,Dean Court,Bournemouth,50.735278,-1.838333,,,https://en.wikipedia.org/wiki/AFC_Bournemouth,100
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q4950266,Bournemouth,6,Bournemouth,"Parliamentary constituency in the United Kingdom, 1918-1950",Q4950266,ok,https://www.wikidata.org/wiki/Q4950266,Bournemouth,"Parliamentary constituency in the United Kingdom, 1918-1950",constituency of the House of Commons,United Kingdom,,,,,,,50.722,-1.879,https://en.wikipedia.org/wiki/Bournemouth_(UK_Parliament_constituency),84
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q124427825,AFC Bournemouth,3,AFC Bournemouth Women,"women's football club in Dorset, England",Q124427825,ok,https://www.wikidata.org/wiki/Q124427825,AFC Bournemouth Women,"women's football club in Dorset, England",association football club,United Kingdom,,,,,,,,,https://en.wikipedia.org/wiki/AFC_Bournemouth_Women,82
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q57198841,Bournemouth,7,Bournemouth,DAB multiplex,Q57198841,ok,https://www.wikidata.org/wiki/Q57198841,Bournemouth,DAB multiplex,DAB ensemble,United Kingdom,,,,,,,,,,71
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q170478,Bournemouth,1,Bournemouth,"town and civil parish in Bournemouth, Christchurch and Poole, Dorset, England",Q170478,ok,https://www.wikidata.org/wiki/Q170478,Bournemouth,"town and civil parish in Bournemouth, Christchurch and Poole, Dorset, England",town,United Kingdom,,,,,,,50.72,-1.88,https://en.wikipedia.org/wiki/Bournemouth,69
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q20989094,Bournemouth,3,Bournemouth,"former district in Dorset, England",Q20989094,ok,https://www.wikidata.org/wiki/Q20989094,Bournemouth,"former district in Dorset, England",borough in the United Kingdom,United Kingdom,,,,,,,50.71666718,-1.88333333,,62
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q1144019,Bournemouth,10,Bournemouth Borough Council,local council for Bournemouth unitary authority,Q1144019,ok,https://www.wikidata.org/wiki/Q1144019,Bournemouth Borough Council,local council for Bournemouth unitary authority,unitary authority,United Kingdom,,,,,,,50.716666666,-1.883333333,https://en.wikipedia.org/wiki/Bournemouth_Borough_Council,38
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q54366459,Bournemouth,5,"Bournemouth, Christchurch and Poole","unitary authority area in the ceremonial county of Dorset, South West England, United Kingdom",Q54366459,ok,https://www.wikidata.org/wiki/Q54366459,"Bournemouth, Christchurch and Poole","unitary authority area in the ceremonial county of Dorset, South West England, United Kingdom",unitary authority area,United Kingdom,,,,,,,50.723,-1.882,"https://en.wikipedia.org/wiki/Bournemouth,_Christchurch_and_Poole",37
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q137270607,AFC Bournemouth,2,"AFC Bournemouth v West Ham United, 13 August 2023",,Q137270607,ok,https://www.wikidata.org/wiki/Q137270607,"AFC Bournemouth v West Ham United, 13 August 2023",,association football match,,,,,,,,,,,36
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q123737010,AFC Bournemouth,4,"AFC Bournemouth v Charlton Athletic, 18 October 2014",,Q123737010,ok,https://www.wikidata.org/wiki/Q123737010,"AFC Bournemouth v Charlton Athletic, 18 October 2014",,association football match,,,,,,,,,,,33
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q580409,Bournemouth,4,Bournemouth Airport,airport in the United Kingdom,Q580409,ok,https://www.wikidata.org/wiki/Q580409,Bournemouth Airport,airport in the United Kingdom,international airport,United Kingdom,,,,,,,50.78,-1.8425,https://en.wikipedia.org/wiki/Bournemouth_Airport,29
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q3182943,Bournemouth,8,Bournemouth University,"university in Bournemouth, Christchurch and Poole, UK",Q3182943,ok,https://www.wikidata.org/wiki/Q3182943,Bournemouth University,"university in Bournemouth, Christchurch and Poole, UK",university,United Kingdom,,,,,,,50.7432,-1.8969,https://en.wikipedia.org/wiki/Bournemouth_University,22
c_afc_bournemouth_61e18bcd,AFC Bournemouth,AFC Bournemouth,Q105909026,Bournemouth,9,"unparished part of Bournemouth, Christchurch and Poole","part(s) of Bournemouth, Christchurch and Poole local authority that are not covered by civil parishes",Q105909026,ok,https://www.wikidata.org/wiki/Q105909026,"unparished part of Bournemouth, Christchurch and Poole","part(s) of Bournemouth, Christchurch and Poole local authority that are not covered by civil parishes",unparished area,United Kingdom,,,,,,,,,,15
