club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,player_count
c_al_riyadh_679deb94,,Al-Riyadh,Al-Riyadh,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_sailiaya_6158b2fd,,Al-Sailiaya,Al-Sailiaya,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_shamal_91835f7b,,Al-Shamal SC,Al-Shamal SC,,,,,,,,,False,Step 5 manual review canonical rename from 'Al Shamal' to 'Al-Shamal SC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_al_shorta_03f6bef7,,Al-Shorta SC,Al-Shorta SC,,,,,,,,,False,Step 5 manual review canonical rename from 'Al-Shorta' to 'Al-Shorta SC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_al_talaba_856167fb,,Al-Talaba,Al-Talaba,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_al_wehdat_2cc29034,,Al-Wehdat SC,Al-Wehdat SC,,,,,,,,,False,Step 5 manual review canonical rename from 'Al-Wehdat' to 'Al-Wehdat SC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_al_zawraa_7bba0fc0,,Al-Zawraa,Al-Zawraa,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_alanyaspor_661d3784,,Alanyaspor,Alanyaspor,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_albirex_niigata_cab00434,,Albirex Niigata,Albirex Niigata,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_almere_11b3096f,,Almere,Almere,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_anderlecht_b0025a96,,Anderlecht,Anderlecht,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_angers_df67ea45,,Angers,Angers,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_antwerp_7961b08d,,Antwerp,Antwerp,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_apoel_nicosia_af3c6796,,Apoel Nicosia,Apoel Nicosia,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_apollon_limassol_b6137677,,Apollon Limassol,Apollon Limassol,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_aris_limassol_d501bdb4,,Aris Limassol,Aris Limassol,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_arsenal_93d10937,,Arsenal,Arsenal,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,16
c_as_far_8343a091,,AS Far,AS Far,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_as_monaco_6b2106c8,,AS Monaco,AS Monaco,,,,,,,,,False,Merged aliases/source variants: AS Monaco; Monaco. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,6
c_as_roma_2ecbf69f,,AS Roma,AS Roma,,,,,,,,,False,Merged aliases/source variants: AS Roma; Roma. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,6
c_astana_f8b0106f,,Astana,Astana,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_aston_villa_2b918477,,Aston Villa,Aston Villa,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,10
c_atalanta_f8d83567,,Atalanta,Atalanta,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,7
c_athletic_club_24c5af40,,Athletic Club,Athletic Club,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_athletico_paranaense_2178bb1a,,Athletico Paranaense,Athletico Paranaense,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_atlanta_united_43563fa4,,Atlanta United,Atlanta United,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_atlas_292eeed6,,Atlas,Atlas,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_atletico_madrid_9b17a9e6,,Atletico Madrid,Atletico Madrid,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,12
c_atletico_mineiro_a8379d4f,,Atletico Mineiro,Atletico Mineiro,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_atletico_nacional_4666103f,,Atlético Nacional,Atletico Nacional,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_atromitos_ea5a8225,,Atromitos,Atromitos,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_auckland_fc_a034ca43,,Auckland FC,Auckland FC,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_austria_vienna_84acf87e,,Austria Vienna,Austria Vienna,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_az_alkmaar_6ec3c79a,,AZ Alkmaar,AZ Alkmaar,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_baniyas_89e1539a,,Baniyas,Baniyas,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_barnsley_4509838f,,Barnsley,Barnsley,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_bastia_1e5b7984,,Bastia,Bastia,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_bayer_leverkusen_39ddc43b,,Bayer Leverkusen,Bayer Leverkusen,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,7
c_bayern_munich_e963c2ea,,Bayern Munich,Bayern Munich,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,17
c_benfica_5d914960,,Benfica,Benfica,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,8
c_besiktas_daeca9ad,,Besiktas,Besiktas,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_beveren_04c54466,,Beveren,Beveren,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_birmingham_city_b5dc6570,,Birmingham City,Birmingham City,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_boca_juniors_6bfb0da4,,Boca Juniors,Boca Juniors,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_bod_glimt_b9be1ed7,,Bodø/Glimt,Bodo/Glimt,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_bologna_1c61a9b1,,Bologna,Bologna,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_borussia_dortmund_8a058a04,,Borussia Dortmund,Borussia Dortmund,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,11
c_borussia_monchengladbach_e9b82a3e,,Borussia Mönchengladbach,Borussia Monchengladbach,,,,,,,,,False,Merged aliases/source variants: Borussia Mönchengladbach; Borussia Moenchengladbach. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_botafogo_99e3bf74,,Botafogo,Botafogo,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_braga_f3599df6,,Braga,Braga,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_braintree_town_abe87f1e,,Braintree Town,Braintree Town,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_brentford_99ebeb82,,Brentford,Brentford,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_brighton_hove_albion_5bfa8704,,Brighton & Hove Albion,Brighton & Hove Albion,,,,,,,,,False,Merged aliases/source variants: Brighton & Hove Albion; Brighton. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,8
c_brondby_701a4084,,Brondby,Brondby,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_burnley_b7c3fe1e,,Burnley,Burnley,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_buxoro_ba979d39,,Buxoro,Buxoro,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_cagliari_b9017662,,Cagliari,Cagliari,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_casa_pia_c00111a5,,Casa Pia,Casa Pia,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_castellon_8eebb754,,Castellón,Castellon,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_caykur_rizespor_5d094b3b,,Çaykur Rizespor,Caykur Rizespor,,,,,,,,,False,Merged aliases/source variants: Caykur Rizesport; Çaykur Rizespor; Rizespor. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_celta_vigo_d1c2cf8a,,Celta Vigo,Celta Vigo,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_celtic_a2eaecf1,,Celtic,Celtic,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,8
c_cercle_brugge_02b4f133,,Cercle Brugge KSV,Cercle Brugge KSV,,,,,,,,,False,Step 5 manual review canonical rename from 'Cercle Brugge' to 'Cercle Brugge KSV'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_cerro_porteno_cf028333,,Cerro Porteño,Cerro Porteno,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_charleroi_62356bf9,,Charleroi,Charleroi,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_charlotte_fc_f185ca79,,Charlotte FC,Charlotte FC,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_charlton_athletic_f6926677,,Charlton Athletic,Charlton Athletic,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_chaves_de187007,,Chaves,Chaves,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_chelsea_e655b01a,,Chelsea,Chelsea,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,10
c_chicago_fire_65c1a76f,,Chicago Fire,Chicago Fire,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_chivas_d38ae426,,Chivas,Chivas,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_club_africain_64656e78,,Club Africain,Club Africain,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_club_america_49cadc66,,Club América,Club America,,,,,,,,,False,Merged aliases/source variants: Club América; América. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_independiente_4f0bb709,,Club Atlético Independiente,Club Atletico Independiente,,,,,,,,,False,Step 5 manual review canonical rename from 'Independiente' to 'Club Atlético Independiente'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_club_brugge_ea2adfc5,,Club Brugge KV,Club Brugge KV,,,,,,,,,False,Step 5 manual review canonical rename from 'Club Brugge' to 'Club Brugge KV'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5
c_nacional_2b4d3a11,,Club Nacional de Football,Club Nacional de Football,,,,,,,,,False,Step 5 manual review canonical rename from 'Nacional' to 'Club Nacional de Football'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_club_tijuana_6e4baf66,,Club Tijuana,Club Tijuana,,,,,,,,,False,Merged aliases/source variants: Club Tijuana; Tijuana. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_cobresal_8c0fe5bd,,Cobresal,Cobresal,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_colorado_rapids_da865f5e,,Colorado Rapids,Colorado Rapids,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_colorado_springs_switchbacks_a19366a9,,Colorado Springs Switchbacks,Colorado Springs Switchbacks,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_columbus_crew_7b68355a,,Columbus Crew,Columbus Crew,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_como_e0ef6211,,Como,Como,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_copenhagen_7e10c652,,Copenhagen,Copenhagen,,,,,,,,,False,Merged aliases/source variants: Copenhagen; Kobenhavn. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3
c_corinthians_276924f3,,Corinthians,Corinthians,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_cosmos_koblenz_125995a0,,Cosmos Koblenz,Cosmos Koblenz,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_coventry_city_4bce22e1,,Coventry City,Coventry City,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_cracovia_5bed2b4b,,Cracovia,Cracovia,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_cremonese_7c9dcb3d,,Cremonese,Cremonese,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_cruz_azul_71a31d4c,,Cruz Azul,Cruz Azul,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_crystal_palace_cd11ce68,,Crystal Palace,Crystal Palace,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,11
c_cs_sfaxien_1128368b,,CS Sfaxien,CS Sfaxien,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_cultural_leonesa_4479aa29,,Cultural Leonesa,Cultural Leonesa,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_daejeon_hana_0cece60d,,Daejeon Hana,Daejeon Hana,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_den_bosch_bb7ad83e,,Den Bosch,Den Bosch,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_deportivo_la_guaira_c9679b6f,,Deportivo La Guaira,Deportivo La Guaira,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_derby_county_900d9adb,,Derby County,Derby County,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_dibba_al_fujairah_06c16d12,,Dibba FC,Dibba FC,,,,,,,,,False,Step 5 manual correction: Mohanad Ali reassigned from source-listed Al-Shorta to Dibba FC; previous source variant was Dibba Al Fujairah. Step 5 manual review canonical rename from 'Dibba Al Fujairah' to 'Dibba FC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_dinamo_samarqand_94368156,,Dinamo Samarqand,Dinamo Samarqand,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_dinamo_zagreb_d86806ac,,Dinamo Zagreb,Dinamo Zagreb,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_dynamo_makhachkala_9cc503d9,,Dynamo Makhachkala,Dynamo Makhachkala,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_dynamo_moscow_28a6f575,,Dynamo Moscow,Dynamo Moscow,,,,,,,,,False,Merged aliases/source variants: Dynamo Moscow; Dinamo Moscow. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_eintracht_braunschweig_c967ead8,,Eintracht Braunschweig,Eintracht Braunschweig,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_eintracht_frankfurt_52e79065,,Eintracht Frankfurt,Eintracht Frankfurt,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,8
c_el_gouna_d2a63f6b,,El Gouna,El Gouna,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_el_paso_locomotive_18790af8,,El Paso Locomotive,El Paso Locomotive,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_elche_e757517b,,Elche,Elche,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_elfsborg_d22fb04b,,Elfsborg,Elfsborg,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_espanyol_b65db3d8,,Espanyol,Espanyol,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_esperance_de_tunis_bd3a1ae1,,Espérance de Tunis,Esperance de Tunis,,,,,,,,,False,Merged aliases/source variants: Espérance de Tunis; Esperance. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_esteghlal_e23c4940,,Esteghlal,Esteghlal,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,6
c_estrela_amadora_ff8429b2,,Estrela Amadora,Estrela Amadora,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_estudiantes_de_la_plata_9139330d,,Estudiantes de La Plata,Estudiantes de La Plata,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_etoile_du_sahel_57c67bcf,,Étoile du Sahel,Etoile du Sahel,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_everton_fd9ce394,,Everton,Everton,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_farense_d90822fe,,Farense,Farense,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_fc_augsburg_ae582369,,FC Augsburg,FC Augsburg,,,,,,,,,False,Merged aliases/source variants: FC Augsburg; Augsburg. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_barcelona_cb30c55c,,FC Barcelona,FC Barcelona,,,,,,,,,False,Step 5 manual review canonical rename from 'Barcelona' to 'FC Barcelona'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,13
c_barcelona_b_ef28ece1,,FC Barcelona Atlètic,FC Barcelona Atletic,,,,,,,,,False,Step 5 manual review canonical rename from 'Barcelona B' to 'FC Barcelona Atlètic'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_fc_cincinnati_d3ccf1dd,,FC Cincinnati,FC Cincinnati,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_fc_dallas_00dc1812,,FC Dallas,FC Dallas,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_fc_midtjylland_2f4e39b9,,FC Midtjylland,FC Midtjylland,,,,,,,,,False,Merged aliases/source variants: FC Midtjylland; Midtjylland. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4
c_fc_noah_5f5fceba,,FC Noah,FC Noah,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_fc_nordsjlland_ae9978cb,,FC Nordsjælland,FC Nordsjaelland,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_fc_seoul_8e133359,,FC Seoul,FC Seoul,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_fc_tatran_presov_05bcf723,,FC Tatran Prešov,FC Tatran Presov,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
c_fc_tokyo_9926cea2,,FC Tokyo,FC Tokyo,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2
c_fc_twente_dfc20881,,FC Twente,FC Twente,,,,,,,,,False,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1
