club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,player_count,candidate_score,search_query,search_rank,search_label,search_description,wikidata_url,wikidata_label,wikidata_description,instance_of,stadium_wikidata_id,stadium_lat,stadium_lon,wikipedia_url,detail_status,match_status,review_reason,coordinate_basis,geo_source_url,proposed_club_lat,proposed_club_lon,approved_wikidata_id,approved_stadium,approved_lat,approved_lon,approved_geo_source_url,manual_notes
c_aik_9fa4ead4,Q2363882,AIK,AIK,Sweden,,,,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,AIK,1,AIK,"sports club in Solna, Sweden",https://www.wikidata.org/wiki/Q2363882,AIK,"sports club in Solna, Sweden",sports club,,,,https://en.wikipedia.org/wiki/AIK,ok,candidate_no_coordinates,"Candidate found, but no usable stadium or club coordinates were found.",,,,,,,,,,
c_aj_auxerre_5c7942ef,Q182876,AJ Auxerre,AJ Auxerre,France,Ligue 1,Auxerre,Stade de l'Abbé-Deschamps,,,,,TRUE,Merged aliases/source variants: AJ Auxerre; Auxerre. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5,100,AJ Auxerre,1,AJ Auxerre,"football club based in Auxerre, France",https://www.wikidata.org/wiki/Q182876,AJ Auxerre,"football club based in Auxerre, France",association football club,Q1347183,47.78672,3.58871,https://en.wikipedia.org/wiki/AJ_Auxerre,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1347183,47.78672,3.58871,,,,,,
c_ajax_955fab76,Q4652033,Ajax,Ajax,Australia,,,,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4,100,Ajax football club,1,AJAX Football Club,Australian rules football club,https://www.wikidata.org/wiki/Q4652033,AJAX Football Club,Australian rules football club,Australian rules football club,,,,https://en.wikipedia.org/wiki/AJAX_Football_Club,ok,candidate_no_coordinates,"Candidate found, but no usable stadium or club coordinates were found.",,,,,,,,,,
c_akron_tolyatti_7891723e,Q65124755,Akron Tolyatti,Akron Tolyatti,Russia,Russian Premier League,Samara,Samara Arena,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Akron Tolyatti,1,FC Akron Tolyatti,Russian football club,https://www.wikidata.org/wiki/Q65124755,FC Akron Tolyatti,Russian football club,association football club,Q4439099,53.277534,50.23769,https://en.wikipedia.org/wiki/FC_Akron_Tolyatti,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q4439099,53.277534,50.23769,,,,,,
c_al_ahly_d8f224e8,Q223566,Al Ahly SC,Al Ahly SC,Egypt,Egyptian Premier League,Cairo Governorate,Al Salam Stadium,,,,,TRUE,Step 5 manual review canonical rename from 'Al Ahly' to 'Al Ahly SC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,9,100,Al Ahly SC,1,Al Ahly SC,"association football club in Cairo, Egypt",https://www.wikidata.org/wiki/Q223566,Al Ahly SC,"association football club in Cairo, Egypt",association football club,Q430815,30.1745,31.435,https://en.wikipedia.org/wiki/Al_Ahly_SC,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q430815,30.1745,31.435,,,,,,
c_al_ain_c5137584,Q812720,Al Ain FC,Al Ain FC,United Arab Emirates,UAE Pro League,Al Ain,Hazza bin Zayed Stadium,,,,,TRUE,Step 5 manual review canonical rename from 'Al Ain' to 'Al Ain FC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3,100,Al Ain FC,1,Al Ain FC,Emirati association football club,https://www.wikidata.org/wiki/Q812720,Al Ain FC,Emirati association football club,association football club,Q15646927,24.2456,55.7166,https://en.wikipedia.org/wiki/Al_Ain_FC,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q15646927,24.2456,55.7166,,,,,,
c_al_bataeh_bbe9608c,Q43032630,Al Bataeh,Al Bataeh,United Arab Emirates,,,,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,2,100,Al Bataeh,1,Al Bataeh Club,Emirati football club,https://www.wikidata.org/wiki/Q43032630,Al Bataeh Club,Emirati football club,association football club,,,,https://en.wikipedia.org/wiki/Al_Bataeh_Club,ok,candidate_no_coordinates,"Candidate found, but no usable stadium or club coordinates were found.",,,,,,,,,,
c_al_duhail_917aca16,Q1056948,Al Duhail,Al Duhail,Qatar,Qatar Stars League,Doha,Lekhwiya Sports Stadium,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,7,100,Al Duhail,1,Al-Duhail SC,Qatari multi-sport club,https://www.wikidata.org/wiki/Q1056948,Al-Duhail SC,Qatari multi-sport club,association football club,Q6181753,25.372711,51.469267,https://en.wikipedia.org/wiki/Al_Duhail_SC,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q6181753,25.372711,51.469267,,,,,,
c_al_ettifaq_807c8264,Q72844,Al-Ettifaq Club,Al-Ettifaq Club,Saudi Arabia,Saudi Pro League,Eastern Province,Al-Ettifaq Club Stadium,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6. Merged Al Etiffaq + Al Ettifaq,,,,2,100,Al-Ettifaq Club,1,Al-Ettifaq FC,Saudi professional football club based in Dammam,https://www.wikidata.org/wiki/Q72844,Al-Ettifaq FC,Saudi professional football club based in Dammam,association football club,Q126391645,26.350571111,50.181142777,https://en.wikipedia.org/wiki/Al-Ettifaq_Club,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q126391645,26.350571111,50.181142777,,,,,,
c_al_gharafa_cf3f2df9,Q428211,Al Gharafa,Al Gharafa,Qatar,Qatar Stars League,Doha,Thani bin Jassim Stadium,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3,100,Al Gharafa,1,Al-Gharafa SC,Qatari multi-sports club based in the Al Gharrafa district of Al Rayyan municipality,https://www.wikidata.org/wiki/Q428211,Al-Gharafa SC,Qatari multi-sports club based in the Al Gharrafa district of Al Rayyan municipality,association football club,Q428177,25.34474,51.440562,https://en.wikipedia.org/wiki/Al-Gharafa_SC,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q428177,25.34474,51.440562,,,,,,
c_al_hilal_67047244,Q73965,Al Hilal,Al Hilal,Saudi Arabia,Saudi Pro League,Riyadh,King Fahd Sports City,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,11,100,Al Hilal,1,Al Hilal SFC,"multi-sports club based in Riyadh, Saudi Arabia",https://www.wikidata.org/wiki/Q73965,Al Hilal SFC,"multi-sports club based in Riyadh, Saudi Arabia",association football club,Q763077,24.788206,46.839236,https://en.wikipedia.org/wiki/Al_Hilal_SFC,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q763077,24.788206,46.839236,,,,,,
c_al_ittihad_715274c9,Q309480,Al Ittihad,Al Ittihad,Saudi Arabia,Saudi Pro League,Jeddah,King Abdullah Sports City,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4,100,Al Ittihad,1,Al Ittihad FC,Saudi Arabian association football club based in Jeddah,https://www.wikidata.org/wiki/Q309480,Al Ittihad FC,Saudi Arabian association football club based in Jeddah,association football club,Q6411211,21.762627,39.165096,https://en.wikipedia.org/wiki/Al-Ittihad_Club_(Jeddah),ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q6411211,21.762627,39.165096,,,,,,
c_al_jazira_3cf19a97,Q429630,Al Jazira,Al Jazira,United Arab Emirates,UAE Pro League,Abu Dhabi,Mohammed Bin Zayed Stadium,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Al Jazira,3,Al Jazira Club,Emirati professional football club based in Abu Dhabi,https://www.wikidata.org/wiki/Q429630,Al Jazira Club,Emirati professional football club based in Abu Dhabi,association football club,Q283849,24.452764,54.392019,https://en.wikipedia.org/wiki/Al_Jazira_Club,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q283849,24.452764,54.392019,,,,,,
c_al_qadsiah_2c418904,Q286191,Al Qadsiah,Al Qadsiah,Saudi Arabia,Saudi Pro League,Khobar,Prince Saud bin Jalawi Stadium,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,6,100,Al Qadsiah,1,Al Qadsiah FC,Saudi professional football club based in the city of Khobar,https://www.wikidata.org/wiki/Q286191,Al Qadsiah FC,Saudi professional football club based in the city of Khobar,association football club,Q4116127,26.3699,50.2052,https://en.wikipedia.org/wiki/Al_Qadsiah_FC,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q4116127,26.3699,50.2052,,,,,,
c_al_rayyan_e5871040,Q311268,Al Rayyan,Al Rayyan,Qatar,Qatar Stars League,Al Rayyan Municipality,Ahmad bin Ali Stadium,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4,100,Al Rayyan,1,Al-Rayyan,association football club,https://www.wikidata.org/wiki/Q311268,Al-Rayyan,association football club,association football club,Q401643,25.330538,51.341279,https://en.wikipedia.org/wiki/Al-Rayyan_SC,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q401643,25.330538,51.341279,,,,,,
c_al_sadd_a599a00e,Q283545,Al Sadd,Al Sadd,Qatar,Qatar Stars League,Doha,Jassim Bin Hamad Stadium,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,5,100,Al Sadd,1,Al Sadd Sports Club,sports club in Qatar,https://www.wikidata.org/wiki/Q283545,Al Sadd Sports Club,sports club in Qatar,association football club,Q1073161,25.267358,51.484251,https://en.wikipedia.org/wiki/Al_Sadd_SC,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1073161,25.267358,51.484251,,,,,,
c_al_shabab_e27f5149,Q4703212,Al Shabab Club,Al Shabab Club,Oman,Oman Professional League,Muscat Governorate,Al-Seeb Stadium,,,,,TRUE,Step 5 manual review canonical rename from 'Al-Shabab' to 'Al Shabab Club'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Al Shabab Club,1,Al-Shabab SC,Omani sports club,https://www.wikidata.org/wiki/Q4703212,Al-Shabab SC,Omani sports club,association football club,Q3272395,23.6189,58.2168,https://en.wikipedia.org/wiki/Al-Shabab_SC_(Seeb),ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q3272395,23.6189,58.2168,,,,,,
c_al_ula_28613b64,Q12247500,Al Ula,Al Ula,Saudi Arabia,,,,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Al Ula,9,Al-Ula Club,Saudi FC football,https://www.wikidata.org/wiki/Q12247500,Al-Ula Club,Saudi FC football,association football club,,,,https://en.wikipedia.org/wiki/Al-Ula_FC,ok,candidate_no_coordinates,"Candidate found, but no usable stadium or club coordinates were found.",,,,,,,,,,
c_al_wahda_7ae987ab,Q812713,Al Wahda FC,Al Wahda FC,Saudi Arabia,Saudi Pro League,Mecca,King Abdulaziz Sports City,,,,,TRUE,Step 5 manual review canonical rename from 'Al-Wahda' to 'Al Wahda FC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Al Wahda FC,1,Al Wehda FC,Saudi soccer club,https://www.wikidata.org/wiki/Q812713,Al Wehda FC,Saudi soccer club,association football club,Q1129161,21.4855,39.9737,https://en.wikipedia.org/wiki/Al_Wehda_FC,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1129161,21.4855,39.9737,,,,,,
c_al_wakrah_abf60aa2,Q284281,Al Wakrah,Al Wakrah,Qatar,Qatar Stars League,Al Wakrah,Al Janoub Stadium,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,4,100,Al Wakrah,1,Al-Wakrah Sports Club,association football club,https://www.wikidata.org/wiki/Q284281,Al-Wakrah Sports Club,association football club,association football club,Q285531,25.159777777,51.574083333,https://en.wikipedia.org/wiki/Al-Wakrah_SC,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q285531,25.159777777,51.574083333,,,,,,
c_al_ahli_c686fb82,Q44441,Al-Ahli Saudi FC,Al-Ahli Saudi FC,Saudi Arabia,Saudi Pro League,Jeddah,King Abdullah Sports City,,,,,FALSE,Step 5 manual review canonical rename from 'Al Ahli' to 'Al-Ahli Saudi FC'. Merged aliases/source variants: Al Ahli; Al-Ahli. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,9,100,Al-Ahli Saudi FC,1,Al Ahli FC,"football Club in Jeddah, Saudi Arabia",https://www.wikidata.org/wiki/Q44441,Al Ahli FC,"football Club in Jeddah, Saudi Arabia",association football club,Q6411211,21.762627,39.165096,https://en.wikipedia.org/wiki/Al-Ahli_Saudi_FC,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q6411211,21.762627,39.165096,,,,,,
c_al_arabi_aed4b46c,Q283760,Al-Arabi SC (Qatar),Al-Arabi SC (Qatar),Qatar,Qatar Stars League,Doha,Grand Hamad Stadium,,,,,FALSE,Step 5 manual review canonical rename from 'Al Arabi' to 'Al-Arabi SC (Qatar)'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3,100,Al-Arabi SC (Qatar),1,Al-Arabi SC,Qatari sports club,https://www.wikidata.org/wiki/Q283760,Al-Arabi SC,Qatari sports club,association football club,Q3271676,25.258708,51.520509,https://en.wikipedia.org/wiki/Al-Arabi_SC_(Qatar),ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q3271676,25.258708,51.520509,,,,,,
c_al_faisaly_d08621cd,Q2829334,Al-Faisaly,Al-Faisaly,Saudi Arabia,Saudi Pro League,Al Majma'ah,Prince Salman Bin Abdulaziz Sport City Stadium,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3,100,Al-Faisaly,1,Al-Faisaly FC,"association football club in Harmah, Saudia",https://www.wikidata.org/wiki/Q2829334,Al-Faisaly FC,"association football club in Harmah, Saudia",association football club,Q7244241,25.886929,45.368021,https://en.wikipedia.org/wiki/Al_Faisaly_FC,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q7244241,25.886929,45.368021,,,,,,
c_al_fayha_22bab1f3,Q20081435,Al-Fayha Club,Al-Fayha Club,Saudi Arabia,Saudi Pro League,Al Majma'ah,Prince Salman Bin Abdulaziz Sport City Stadium,,,,,FALSE,Step 5 manual review canonical rename from 'Al Fayha' to 'Al-Fayha Club'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Al-Fayha Club,1,Al-Feiha FC,association football club in Saudi Arabia,https://www.wikidata.org/wiki/Q20081435,Al-Feiha FC,association football club in Saudi Arabia,association football club,Q7244241,25.886929,45.368021,https://en.wikipedia.org/wiki/Al-Fayha_Club,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q7244241,25.886929,45.368021,,,,,,
c_al_hussein_1fe1435d,Q2829355,Al-Hussein,Al-Hussein,Jordan,Jordan Premier League,Irbid,Al-Hassan Stadium,,,,,TRUE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,6,100,Al-Hussein,4,Al-Hussein SC,football club,https://www.wikidata.org/wiki/Q2829355,Al-Hussein SC,football club,association football club,Q4117207,32.5375,35.860278,https://en.wikipedia.org/wiki/Al-Hussein_SC_(Irbid),ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q4117207,32.5375,35.860278,,,,,,
c_al_karma_f9b63d11,Q118900487,Al-Karma SC,Al-Karma SC,Iraq,Iraqi First Division League,Fallujah,Al-Fallujah Stadium,,,,,FALSE,Step 5 manual correction: Aymen Hussein reassigned from source-listed Al-Khor to Al-Karma SC. Step 5 manual review canonical rename from 'Al-Karma' to 'Al-Karma SC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,3,100,Al-Karma SC,1,Al-Karma SC,Iraqi football club,https://www.wikidata.org/wiki/Q118900487,Al-Karma SC,Iraqi football club,association football club,Q111294909,33.351388888,43.811027777,https://en.wikipedia.org/wiki/Al-Karma_SC,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q111294909,33.351388888,43.811027777,,,,,,
c_al_najma_9b74810f,,Al-Najma SC (Saudi Arabia),Al-Najma SC (Saudi Arabia),,,,,,,,,TRUE,Step 5 manual review canonical rename from 'Al Najma' to 'Al-Najma SC (Saudi Arabia)'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,,,,,,,,,,,,,,,no_wikidata_candidates_found,No Wikidata candidates returned from search variants. Manual match required.,,,,,,,,,,
c_al_nasr_0bf2f525,Q812723,Al-Nasr SC (Dubai),Al-Nasr SC (Dubai),United Arab Emirates,UAE Pro League,Dubai,Al-Maktoum Stadium,,,,,FALSE,Step 5 manual review canonical rename from 'Al-Nasr' to 'Al-Nasr SC (Dubai)'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,92,Al-Nasr SC (Dubai),1,Alshariqa,"Emirati sports club based in Al Nasr, Dubai",https://www.wikidata.org/wiki/Q812723,Alshariqa,"Emirati sports club based in Al Nasr, Dubai",association football club,Q3119433,25.24,55.313055555,https://en.wikipedia.org/wiki/Al-Nasr_SC_(Dubai),ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q3119433,25.24,55.313055555,,,,,,
c_al_nassr_4ed92392,Q482764,Al-Nassr FC,Al-Nassr FC,Saudi Arabia,Saudi Pro League,Riyadh,KSU Stadium,,,,,TRUE,Step 5 manual review canonical rename from 'Al Nassr' to 'Al-Nassr FC'. Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,10,100,Al-Nassr FC,1,Al-Nassr,Saudi Arabian association football club,https://www.wikidata.org/wiki/Q482764,Al-Nassr,Saudi Arabian association football club,association football club,Q20421103,24.72930556,46.62369444,https://en.wikipedia.org/wiki/Al-Nassr_FC,ok,candidate_stadium_coords_needs_spotcheck,"Good candidate with stadium coordinates, but ambiguity threshold was not fully met.",wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q20421103,24.72930556,46.62369444,,,,,,
c_al_quwa_al_jawiya_d23a171e,Q285510,Al-Quwa Al-Jawiya,Al-Quwa Al-Jawiya,Iraq,Iraq Stars League,Baghdad,Q2117452,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,,,,1,100,Al-Quwa Al-Jawiya,1,Al-Quwa Al-Jawiya,association football club,https://www.wikidata.org/wiki/Q285510,Al-Quwa Al-Jawiya,association football club,association football club,Q2117452,33.344603,44.438984,https://en.wikipedia.org/wiki/Al-Quwa_Al-Jawiya,ok,auto_candidate_high_stadium_coords,,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q2117452,33.344603,44.438984,,,,,,
