club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes
c_bournemouth_423b488c,,Bournemouth,Bournemouth,,,,,,,,,FALSE,
c_braga_f3599df6,,Braga,Braga,,,,,,,,,FALSE,
c_braintree_town_abe87f1e,,Braintree Town,Braintree Town,,,,,,,,,FALSE,
c_brentford_99ebeb82,,Brentford,Brentford,,,,,,,,,FALSE,
c_brighton_a6652bc3,,Brighton,Brighton,,,,,,,,,FALSE,
c_brighton_hove_albion_5bfa8704,,Brighton & Hove Albion,Brighton & Hove Albion,,,,,,,,,FALSE,
c_brondby_701a4084,,Brondby,Brondby,,,,,,,,,FALSE,
c_burnley_b7c3fe1e,,Burnley,Burnley,,,,,,,,,FALSE,
c_buxoro_ba979d39,,Buxoro,Buxoro,,,,,,,,,FALSE,
c_cs_sfaxien_1128368b,,CS Sfaxien,CS Sfaxien,,,,,,,,,FALSE,
c_cagliari_b9017662,,Cagliari,Cagliari,,,,,,,,,FALSE,
c_casa_pia_c00111a5,,Casa Pia,Casa Pia,,,,,,,,,FALSE,
c_castellon_8eebb754,,Castellón,Castellon,,,,,,,,,FALSE,
c_caykur_rizesport_14762bac,,Caykur Rizesport,Caykur Rizesport,,,,,,,,,FALSE,
c_celta_vigo_d1c2cf8a,,Celta Vigo,Celta Vigo,,,,,,,,,FALSE,
c_celtic_a2eaecf1,,Celtic,Celtic,,,,,,,,,FALSE,
c_cercle_brugge_02b4f133,,Cercle Brugge,Cercle Brugge,,,,,,,,,FALSE,
c_cerro_porteno_cf028333,,Cerro Porteño,Cerro Porteno,,,,,,,,,FALSE,
c_charleroi_62356bf9,,Charleroi,Charleroi,,,,,,,,,FALSE,
c_charlotte_fc_f185ca79,,Charlotte FC,Charlotte FC,,,,,,,,,FALSE,
c_charlton_athletic_f6926677,,Charlton Athletic,Charlton Athletic,,,,,,,,,FALSE,
c_chaves_de187007,,Chaves,Chaves,,,,,,,,,FALSE,
c_chelsea_e655b01a,,Chelsea,Chelsea,,,,,,,,,FALSE,
c_chicago_fire_65c1a76f,,Chicago Fire,Chicago Fire,,,,,,,,,FALSE,
c_chivas_d38ae426,,Chivas,Chivas,,,,,,,,,FALSE,
c_club_africain_64656e78,,Club Africain,Club Africain,,,,,,,,,FALSE,
c_club_america_49cadc66,,Club América,Club America,,,,,,,,,FALSE,
c_club_brugge_ea2adfc5,,Club Brugge,Club Brugge,,,,,,,,,FALSE,
c_club_tijuana_6e4baf66,,Club Tijuana,Club Tijuana,,,,,,,,,FALSE,
c_cobresal_8c0fe5bd,,Cobresal,Cobresal,,,,,,,,,FALSE,
c_colorado_rapids_da865f5e,,Colorado Rapids,Colorado Rapids,,,,,,,,,FALSE,
c_colorado_springs_switchbacks_a19366a9,,Colorado Springs Switchbacks,Colorado Springs Switchbacks,,,,,,,,,FALSE,
c_columbus_crew_7b68355a,,Columbus Crew,Columbus Crew,,,,,,,,,FALSE,
c_como_e0ef6211,,Como,Como,,,,,,,,,FALSE,
c_copenhagen_7e10c652,,Copenhagen,Copenhagen,,,,,,,,,FALSE,
c_corinthians_276924f3,,Corinthians,Corinthians,,,,,,,,,FALSE,
c_cosmos_koblenz_125995a0,,Cosmos Koblenz,Cosmos Koblenz,,,,,,,,,FALSE,
c_coventry_city_4bce22e1,,Coventry City,Coventry City,,,,,,,,,FALSE,
c_cracovia_5bed2b4b,,Cracovia,Cracovia,,,,,,,,,FALSE,
c_cremonese_7c9dcb3d,,Cremonese,Cremonese,,,,,,,,,FALSE,
c_cruz_azul_71a31d4c,,Cruz Azul,Cruz Azul,,,,,,,,,FALSE,
c_crystal_palace_cd11ce68,,Crystal Palace,Crystal Palace,,,,,,,,,FALSE,
c_cultural_leonesa_4479aa29,,Cultural Leonesa,Cultural Leonesa,,,,,,,,,FALSE,
c_caykur_rizespor_5d094b3b,,Çaykur Rizespor,Caykur Rizespor,,,,,,,,,FALSE,
c_daejeon_hana_0cece60d,,Daejeon Hana,Daejeon Hana,,,,,,,,,FALSE,
c_den_bosch_bb7ad83e,,Den Bosch,Den Bosch,,,,,,,,,FALSE,
c_dender_59951657,,Dender,Dender,,,,,,,,,FALSE,
c_deportivo_la_guaira_c9679b6f,,Deportivo La Guaira,Deportivo La Guaira,,,,,,,,,FALSE,
c_derby_county_900d9adb,,Derby County,Derby County,,,,,,,,,FALSE,
c_dibba_al_fujairah_06c16d12,,Dibba Al Fujairah,Dibba Al Fujairah,,,,,,,,,FALSE,
c_dinamo_moscow_065752cd,,Dinamo Moscow,Dinamo Moscow,,,,,,,,,FALSE,
c_dinamo_samarqand_94368156,,Dinamo Samarqand,Dinamo Samarqand,,,,,,,,,FALSE,
c_dinamo_zagreb_d86806ac,,Dinamo Zagreb,Dinamo Zagreb,,,,,,,,,FALSE,
c_dynamo_makhachkala_9cc503d9,,Dynamo Makhachkala,Dynamo Makhachkala,,,,,,,,,FALSE,
c_dynamo_moscow_28a6f575,,Dynamo Moscow,Dynamo Moscow,,,,,,,,,FALSE,
c_eintracht_braunschweig_c967ead8,,Eintracht Braunschweig,Eintracht Braunschweig,,,,,,,,,FALSE,
c_eintracht_frankfurt_52e79065,,Eintracht Frankfurt,Eintracht Frankfurt,,,,,,,,,FALSE,
c_el_gouna_d2a63f6b,,El Gouna,El Gouna,,,,,,,,,FALSE,
c_el_paso_locomotive_18790af8,,El Paso Locomotive,El Paso Locomotive,,,,,,,,,FALSE,
c_elche_e757517b,,Elche,Elche,,,,,,,,,FALSE,
c_elfsborg_d22fb04b,,Elfsborg,Elfsborg,,,,,,,,,FALSE,
c_espanyol_b65db3d8,,Espanyol,Espanyol,,,,,,,,,FALSE,
c_esperance_e3a8f140,,Esperance,Esperance,,,,,,,,,FALSE,
c_esperance_de_tunis_bd3a1ae1,,Espérance de Tunis,Esperance de Tunis,,,,,,,,,FALSE,
c_esteghlal_e23c4940,,Esteghlal,Esteghlal,,,,,,,,,FALSE,
c_estrela_amadora_ff8429b2,,Estrela Amadora,Estrela Amadora,,,,,,,,,FALSE,
c_estudiantes_de_la_plata_9139330d,,Estudiantes de La Plata,Estudiantes de La Plata,,,,,,,,,FALSE,
c_everton_fd9ce394,,Everton,Everton,,,,,,,,,FALSE,
c_fc_augsburg_ae582369,,FC Augsburg,FC Augsburg,,,,,,,,,FALSE,
c_fc_cincinnati_d3ccf1dd,,FC Cincinnati,FC Cincinnati,,,,,,,,,FALSE,
c_fc_dallas_00dc1812,,FC Dallas,FC Dallas,,,,,,,,,FALSE,
c_fc_midtjylland_2f4e39b9,,FC Midtjylland,FC Midtjylland,,,,,,,,,FALSE,
c_fc_noah_5f5fceba,,FC Noah,FC Noah,,,,,,,,,FALSE,
c_fc_nordsjlland_ae9978cb,,FC Nordsjælland,FC Nordsjlland,,,,,,,,,FALSE,
c_fc_seoul_8e133359,,FC Seoul,FC Seoul,,,,,,,,,FALSE,
c_fc_tatran_presov_05bcf723,,FC Tatran Prešov,FC Tatran Presov,,,,,,,,,FALSE,
c_fc_tokyo_9926cea2,,FC Tokyo,FC Tokyo,,,,,,,,,FALSE,
c_fc_twente_dfc20881,,FC Twente,FC Twente,,,,,,,,,FALSE,
c_fc_utrecht_8e99a4a6,,FC Utrecht,FC Utrecht,,,,,,,,,FALSE,
c_fcsb_dbba85ac,,FCSB,FCSB,,,,,,,,,FALSE,
c_fcv_dender_decd464d,,FCV Dender,FCV Dender,,,,,,,,,FALSE,
c_farense_d90822fe,,Farense,Farense,,,,,,,,,FALSE,
c_fenerbahce_58b3ec74,,Fenerbahce,Fenerbahce,,,,,,,,,FALSE,
c_ferencvaros_b07d0cdc,,Ferencváros,Ferencvaros,,,,,,,,,FALSE,
c_feyenoord_c7797bfb,,Feyenoord,Feyenoord,,,,,,,,,FALSE,
c_feyenoord_rotterdam_84f24d24,,Feyenoord Rotterdam,Feyenoord Rotterdam,,,,,,,,,FALSE,
c_fiorentina_69ff41f4,,Fiorentina,Fiorentina,,,,,,,,,FALSE,
c_flamengo_503b2587,,Flamengo,Flamengo,,,,,,,,,FALSE,
c_fluminense_86723454,,Fluminense,Fluminense,,,,,,,,,FALSE,
c_foolad_1a4bede8,,Foolad,Foolad,,,,,,,,,FALSE,
c_fortuna_dusseldorf_78ca4c52,,Fortuna Dusseldorf,Fortuna Dusseldorf,,,,,,,,,FALSE,
c_freiburg_185994b9,,Freiburg,Freiburg,,,,,,,,,FALSE,
c_frosinone_ffb745d6,,Frosinone,Frosinone,,,,,,,,,FALSE,
c_fulham_385c468e,,Fulham,Fulham,,,,,,,,,FALSE,
c_galatasaray_8f5e15dc,,Galatasaray,Galatasaray,,,,,,,,,FALSE,
c_gangwon_fc_a8495ff5,,Gangwon FC,Gangwon FC,,,,,,,,,FALSE,
c_gaziantep_36de22a4,,Gaziantep,Gaziantep,,,,,,,,,FALSE,
c_genk_8993c379,,Genk,Genk,,,,,,,,,FALSE,
c_genoa_8456931a,,Genoa,Genoa,,,,,,,,,FALSE,
c_gent_2f000c7f,,Gent,Gent,,,,,,,,,FALSE,
c_genclerbirligi_22e3fae3,,Gençlerbirliği,Genclerbirligi,,,,,,,,,FALSE,
c_gil_vicente_4e74984b,,Gil Vicente,Gil Vicente,,,,,,,,,FALSE,
c_girona_2b73c591,,Girona,Girona,,,,,,,,,FALSE,
c_granada_4af55cd4,,Granada,Granada,,,,,,,,,FALSE,
c_grazer_ak_845301c1,,Grazer AK,Grazer AK,,,,,,,,,FALSE,
c_gremio_c49f51d7,,Gremio,Gremio,,,,,,,,,FALSE,
c_gyori_eto_4f17868c,,Győri ETO,Gyori ETO,,,,,,,,,FALSE,
c_hajduk_split_903c0454,,Hajduk Split,Hajduk Split,,,,,,,,,FALSE,
c_hamburg_a1d99583,,Hamburg,Hamburg,,,,,,,,,FALSE,
c_hamburg_sv_8cb7fa56,,Hamburg SV,Hamburg SV,,,,,,,,,FALSE,
c_hamburger_sv_bc4db90c,,Hamburger SV,Hamburger SV,,,,,,,,,FALSE,
c_hannover_96_f304aed3,,Hannover 96,Hannover 96,,,,,,,,,FALSE,
c_heart_of_midlothian_d14abfe8,,Heart of Midlothian,Heart of Midlothian,,,,,,,,,FALSE,
c_hearts_422d35b1,,Hearts,Hearts,,,,,,,,,FALSE,
c_heracles_almelo_e3b803be,,Heracles Almelo,Heracles Almelo,,,,,,,,,FALSE,
c_hibernian_8382e8fd,,Hibernian,Hibernian,,,,,,,,,FALSE,
c_hoffenheim_afe46f8f,,Hoffenheim,Hoffenheim,,,,,,,,,FALSE,
c_holstein_kiel_1496d34f,,Holstein Kiel,Holstein Kiel,,,,,,,,,FALSE,
c_hradec_kralove_16ceb4be,,Hradec Kralove,Hradec Kralove,,,,,,,,,FALSE,
c_hull_city_c960b36b,,Hull City,Hull City,,,,,,,,,FALSE,
c_huracan_1cba27c3,,Huracan,Huracan,,,,,,,,,FALSE,
c_ifk_norrkoping_3af5a7be,,IFK Norrköping,IFK Norrkoping,,,,,,,,,FALSE,
c_igdir_afc03fda,,Igdir,Igdir,,,,,,,,,FALSE,
c_independiente_4f0bb709,,Independiente,Independiente,,,,,,,,,FALSE,
c_independiente_rivadavia_c01b9f67,,Independiente Rivadavia,Independiente Rivadavia,,,,,,,,,FALSE,
c_independiente_del_valle_02bf2082,,Independiente del Valle,Independiente del Valle,,,,,,,,,FALSE,
c_inter_miami_12316fb2,,Inter Miami,Inter Miami,,,,,,,,,FALSE,
c_inter_milan_ec07dd66,,Inter Milan,Inter Milan,,,,,,,,,FALSE,
c_internacional_9f25f9e5,,Internacional,Internacional,,,,,,,,,FALSE,
c_internacional_de_porto_alegre_2cd531d7,,Internacional de Porto Alegre,Internacional de Porto Alegre,,,,,,,,,FALSE,
c_internazionale_aa241403,,Internazionale,Internazionale,,,,,,,,,FALSE,
c_ipswich_b59d5dc9,,Ipswich,Ipswich,,,,,,,,,FALSE,
c_ipswich_town_0526bcf8,,Ipswich Town,Ipswich Town,,,,,,,,,FALSE,
c_ironi_kiryat_shmona_c6bc74ed,,Ironi Kiryat Shmona,Ironi Kiryat Shmona,,,,,,,,,FALSE,
c_istanbul_basaksehir_eda9bc84,,Istanbul Basaksehir,Istanbul Basaksehir,,,,,,,,,FALSE,
c_js_kabylie_dbd91381,,JS Kabylie,JS Kabylie,,,,,,,,,FALSE,
c_jagiellonia_bialystok_14ff40df,,Jagiellonia Bialystok,Jagiellonia Bialystok,,,,,,,,,FALSE,
c_jeonbuk_hyundai_06657775,,Jeonbuk Hyundai,Jeonbuk Hyundai,,,,,,,,,FALSE,
c_juventus_57698fb8,,Juventus,Juventus,,,,,,,,,FALSE,
c_juarez_7fd97eca,,Juárez,Juarez,,,,,,,,,FALSE,
c_kv_mechelen_5d03665d,,KV Mechelen,KV Mechelen,,,,,,,,,FALSE,
c_kaizer_chiefs_99debdde,,Kaizer Chiefs,Kaizer Chiefs,,,,,,,,,FALSE,
c_kalba_cd0a6e06,,Kalba,Kalba,,,,,,,,,FALSE,
c_karlsruher_sc_de48b4d3,,Karlsruher SC,Karlsruher SC,,,,,,,,,FALSE,
c_kashima_antlers_e314a26b,,Kashima Antlers,Kashima Antlers,,,,,,,,,FALSE,
c_kasimpasa_520d5e13,,Kasimpasa,Kasimpasa,,,,,,,,,FALSE,
c_kasmpasa_61344b51,,Kasımpaşa,Kasmpasa,,,,,,,,,FALSE,
c_kayserispor_6364c552,,Kayserispor,Kayserispor,,,,,,,,,FALSE,
c_kifisia_6c2ed07b,,Kifisia,Kifisia,,,,,,,,,FALSE,
c_kilmarnock_77ff2e4c,,Kilmarnock,Kilmarnock,,,,,,,,,FALSE,
c_kobenhavn_f37ec8f7,,Kobenhavn,Kobenhavn,,,,,,,,,FALSE,
c_konyaspor_93c0af9a,,Konyaspor,Konyaspor,,,,,,,,,FALSE,
c_krasnodar_e8c3f037,,Krasnodar,Krasnodar,,,,,,,,,FALSE,
c_lafc_42b75eaf,,LAFC,LAFC,,,,,,,,,FALSE,
c_lask_ec5e4ca0,,LASK,LASK,,,,,,,,,FALSE,
c_lask_linz_e868dff4,,LASK Linz,LASK Linz,,,,,,,,,FALSE,
c_ldu_quito_c7b2d459,,LDU Quito,LDU Quito,,,,,,,,,FALSE,
c_lanus_7b7e52a5,,Lanus,Lanus,,,,,,,,,FALSE,
c_le_havre_e4b47f0b,,Le Havre,Le Havre,,,,,,,,,FALSE,
c_le_havre_ac_f11b1be2,,Le Havre AC,Le Havre AC,,,,,,,,,FALSE,
c_lechia_gdansk_6dd6ea20,,Lechia Gdańsk,Lechia Gdansk,,,,,,,,,FALSE,
c_leeds_d537b1a4,,Leeds,Leeds,,,,,,,,,FALSE,
c_leeds_united_4d0a095e,,Leeds United,Leeds United,,,,,,,,,FALSE,
c_leicester_city_1856e967,,Leicester City,Leicester City,,,,,,,,,FALSE,
c_lens_d18e9fd2,,Lens,Lens,,,,,,,,,FALSE,
c_levante_1173db37,,Levante,Levante,,,,,,,,,FALSE,
c_leon_e09d3468,,León,Leon,,,,,,,,,FALSE,
c_lille_5e95484f,,Lille,Lille,,,,,,,,,FALSE,
c_liverpool_53dacc53,,Liverpool,Liverpool,,,,,,,,,FALSE,
c_lokomotiv_moscow_d1e0d051,,Lokomotiv Moscow,Lokomotiv Moscow,,,,,,,,,FALSE,
c_lokomotiva_zagreb_5ede067f,,Lokomotiva Zagreb,Lokomotiva Zagreb,,,,,,,,,FALSE,
c_lorient_1d133ad3,,Lorient,Lorient,,,,,,,,,FALSE,
c_ludogorets_razgrad_596a7c7c,,Ludogorets Razgrad,Ludogorets Razgrad,,,,,,,,,FALSE,
c_lugano_b8a83086,,Lugano,Lugano,,,,,,,,,FALSE,
c_lyon_8ff8803d,,Lyon,Lyon,,,,,,,,,FALSE,
c_maccabi_haifa_f1b6b507,,Maccabi Haifa,Maccabi Haifa,,,,,,,,,FALSE,
c_maccabi_tel_aviv_8adccf32,,Maccabi Tel Aviv,Maccabi Tel Aviv,,,,,,,,,FALSE,
c_machida_zelvia_de40ad9f,,Machida Zelvia,Machida Zelvia,,,,,,,,,FALSE,
c_mainz_0f856462,,Mainz,Mainz,,,,,,,,,FALSE,
c_mainz_05_a2ff4aed,,Mainz 05,Mainz 05,,,,,,,,,FALSE,
c_malavan_5031d9ab,,Malavan,Malavan,,,,,,,,,FALSE,
c_mallorca_283c2cf0,,Mallorca,Mallorca,,,,,,,,,FALSE,
c_malmo_81e0c3a3,,Malmo,Malmo,,,,,,,,,FALSE,
c_mamelodi_sundowns_5ad1de31,,Mamelodi Sundowns,Mamelodi Sundowns,,,,,,,,,FALSE,
c_man_united_e54449db,,Man United,Man United,,,,,,,,,FALSE,
c_manchester_city_446c8158,,Manchester City,Manchester City,,,,,,,,,FALSE,
c_manchester_united_f05b841f,,Manchester United,Manchester United,,,,,,,,,FALSE,
c_marathon_947eb4c4,,Marathón,Marathon,,,,,,,,,FALSE,
c_maribor_c1138f0c,,Maribor,Maribor,,,,,,,,,FALSE,
c_marseille_8a6a0f84,,Marseille,Marseille,,,,,,,,,FALSE,
c_mazatlan_b76304f0,,Mazatlán,Mazatlan,,,,,,,,,FALSE,
c_melbourne_city_04bdf721,,Melbourne City,Melbourne City,,,,,,,,,FALSE,
c_melbourne_victory_7173b295,,Melbourne Victory,Melbourne Victory,,,,,,,,,FALSE,
c_miami_fc_86451741,,Miami FC,Miami FC,,,,,,,,,FALSE,
c_middlesbrough_8a024275,,Middlesbrough,Middlesbrough,,,,,,,,,FALSE,
c_midtjylland_dbf5237c,,Midtjylland,Midtjylland,,,,,,,,,FALSE,
c_millwall_9ef52a13,,Millwall,Millwall,,,,,,,,,FALSE,
c_minnesota_united_ec79d898,,Minnesota United,Minnesota United,,,,,,,,,FALSE,
c_mjallby_ba532087,,Mjallby,Mjallby,,,,,,,,,FALSE,
c_molde_c258d39b,,Molde,Molde,,,,,,,,,FALSE,
c_monaco_2c8eb35b,,Monaco,Monaco,,,,,,,,,FALSE,
c_montana_45e96443,,Montana,Montana,,,,,,,,,FALSE,
c_monterrey_f10cf911,,Monterrey,Monterrey,,,,,,,,,FALSE,
c_montpellier_12bea8d1,,Montpellier,Montpellier,,,,,,,,,FALSE,
c_motherwell_8b7b9d25,,Motherwell,Motherwell,,,,,,,,,FALSE,
c_nec_nijmegen_5eeb954a,,NEC Nijmegen,NEC Nijmegen,,,,,,,,,FALSE,
c_nk_maribor_feb9d4ad,,NK Maribor,NK Maribor,,,,,,,,,FALSE,
c_nacional_2b4d3a11,,Nacional,Nacional,,,,,,,,,FALSE,
c_nancy_c55a4912,,Nancy,Nancy,,,,,,,,,FALSE,
c_nantes_f85b493e,,Nantes,Nantes,,,,,,,,,FALSE,
c_napoli_48cfbfde,,Napoli,Napoli,,,,,,,,,FALSE,
c_nasaf_92f9d239,,Nasaf,Nasaf,,,,,,,,,FALSE,
c_navbahor_c6d5cb2a,,Navbahor,Navbahor,,,,,,,,,FALSE,
