rank,player_name,team_code,position,goals,assists,minutes_played
143,Eldor Shomurodov,UZB,FW,1,0,304
144,Jamal Musiala,GER,MF,1,0,305
145,Finn Surman,NZL,DF,1,0,306
146,Caleb Yirenkyi,GHA,MF,1,0,307
147,Kerim Alajbegovic,BIH,FW,1,0,312
148,Arda Guler,TUR,FW,1,0,313
149,Sidny Lopes Cabral,CPV,DF,1,0,324
150,Martin Baturina,CRO,MF,1,0,344
151,Connor Metcalfe,AUS,MF,1,0,354
152,Antonio Nusa,NOR,FW,1,0,357
153,Leroy Sane,GER,MF,1,0,360
154,Rafik Belghali,ALG,DF,1,0,362
155,Franck Kessie,CIV,MF,1,0,389
156,Kevin Pina,CPV,MF,1,0,389
157,Jhon Arias,COL,MF,1,0,405
158,Gonzalo Plata,ECU,FW,1,0,407
159,Pedro Porro,ESP,DF,1,0,410
160,Marcel Sabitzer,AUT,MF,1,0,412
161,Kevin De Bruyne,BEL,MF,1,0,412
162,Casemiro,BRA,MF,1,0,425
163,Jan Paul Van Hecke,NED,DF,1,0,432
164,Stephen Eustaquio,CAN,MF,1,0,444
165,Nuno Mendes,POR,DF,1,0,447
166,Joao Neves,POR,MF,1,0,450
167,Lamine Yamal,ESP,FW,1,0,454
168,Julian Alvarez,ARG,FW,1,0,472
169,Cristian Romero,ARG,DF,1,0,507
170,Yasser Ibrahim,EGY,DF,1,0,533
171,Issa Diop,MAR,DF,1,0,534
172,Enzo Fernandez,ARG,MF,1,0,553
173,Granit Xhaka,SUI,MF,1,0,673
174,Michael Olise,FRA,FW,0,5,538
175,Bruno Guimaraes,BRA,MF,0,4,458
176,Brahim Diaz,MAR,FW,0,4,500
177,Martin Odegaard,NOR,MF,0,4,537
178,Bukayo Saka,ENG,FW,0,3,308
179,Anthony Gordon,ENG,FW,0,3,367
180,Florian Wirtz,GER,MF,0,3,405
181,Roberto Alvarado,MEX,FW,0,3,476
182,Houssem Aouar,ALG,MF,0,2,191
183,Hannibal Mejbri,TUN,MF,0,2,298
184,Chris Wood,NZL,FW,0,2,306
185,Ryan Gravenberch,NED,MF,0,2,374
186,Joshua Kimmich,GER,DF,0,2,392
187,Nicolas Raskin,BEL,MF,0,2,396
188,Denzel Dumfries,NED,DF,0,2,432
189,Patrick Berg,NOR,MF,0,2,519
190,Marc Cucurella,ESP,DF,0,2,614
191,Jose Manuel Lopez,ARG,FW,0,1,28
192,Dennis Hadzikadunic,BIH,DF,0,1,33
193,Tshepang Moremi,RSA,FW,0,1,44
194,Yannick Semedo,CPV,MF,0,1,46
195,Nadiem Amiri,GER,MF,0,1,50
196,Koki Ogawa,JPN,FW,0,1,56
197,Meschack Elia,COD,FW,0,1,59
198,Cucho Hernandez,COL,FW,0,1,66
199,Abdoulaye Seck,SEN,DF,0,1,66
200,Memphis Depay,NED,FW,0,1,68
201,Brandon Thomas Asante,GHA,FW,0,1,70
202,Takefusa Kubo,JPN,MF,0,1,77
203,Ernest Nuamah,GHA,FW,0,1,109
204,Kou Itakura,JPN,DF,0,1,138
205,Haissem Hassan,EGY,FW,0,1,138
206,Kevin Rodriguez,ECU,FW,0,1,146
207,Juan Quintero,COL,MF,0,1,146
208,Gonzalo Montiel,ARG,DF,0,1,150
209,Alexandr Sojka,CZE,MF,0,1,155
210,Orkun Kokcu,TUR,MF,0,1,172
211,Jean Kevin Duverne,HAI,DF,0,1,186
212,Wilfried Singo,CIV,DF,0,1,190
213,Karim Hafez,EGY,DF,0,1,198
214,Ivan Basic,BIH,MF,0,1,200
215,Marcos Llorente,ESP,DF,0,1,203
216,Michael Gregoritsch,AUT,FW,0,1,207
217,Lucas Bergvall,SWE,MF,0,1,207
218,Tijjani Reijnders,NED,MF,0,1,211
219,Paul Okon Engstler,AUS,MF,0,1,214
220,Chemsdine Talbi,MAR,MF,0,1,217
221,Thomas Meunier,BEL,DF,0,1,226
222,Edmilson Junior,QAT,FW,0,1,228
223,Nico Gonzalez,ARG,MF,0,1,237
224,Tim Payne,NZL,DF,0,1,241
225,Akmal Mozgovoy,UZB,MF,0,1,243
226,Ferran Torres,ESP,FW,0,1,251
227,Christian Pulisic,USA,FW,0,1,253
228,Lucas Paqueta,BRA,MF,0,1,255
229,Xaver Schlager,AUT,MF,0,1,265
230,Nicolas Jackson,SEN,FW,0,1,271
231,Amir Alammari,IRQ,MF,0,1,279
232,Facundo Medina,ARG,DF,0,1,283
233,Lamine Camara,SEN,MF,0,1,287
234,Ehsan Haddad,JOR,DF,0,1,287
235,Mateo Kovacic,CRO,MF,0,1,293
236,Ritsu Doan,JPN,MF,0,1,295
237,Lee Kangin,KOR,MF,0,1,300
238,Vladimir Coufal,CZE,DF,0,1,301
239,David Alaba,AUT,DF,0,1,302
240,Aurelien Tchouameni,FRA,MF,0,1,304
241,Ibrahim Sangare,CIV,MF,0,1,305
242,Noor Alrawabdeh,JOR,MF,0,1,309
243,Rayan,BRA,FW,0,1,327
244,Arthur Masuaku,COD,DF,0,1,340
245,Joao Cancelo,POR,DF,0,1,342
246,Luka Modric,CRO,MF,0,1,360
247,Yan Diomande,CIV,FW,0,1,361
248,Luis Suarez,COL,FW,0,1,365
249,Ryan Mendes,CPV,FW,0,1,366
250,Dani Olmo,ESP,FW,0,1,373
251,Sead Kolasinac,BIH,DF,0,1,373
252,Pedro Neto,POR,FW,0,1,381
253,Jorge Sanchez,MEX,DF,0,1,388
254,Chadi Riad,MAR,DF,0,1,390
255,Erik Lira,MEX,MF,0,1,391
256,Pedro Vite,ECU,MF,0,1,407
257,Chancel Mbemba,COD,DF,0,1,409
258,Konrad Laimer,AUT,MF,0,1,412
259,Josip Stanisic,CRO,DF,0,1,413
260,Sadio Mane,SEN,FW,0,1,421
261,Declan Rice,ENG,MF,0,1,433
262,Rodrigo De Paul,ARG,MF,0,1,436
263,Moussa Niakhate,SEN,DF,0,1,459
264,Bruno Fernandes,POR,MF,0,1,471
265,David Moller Wolfe,NOR,DF,0,1,477
266,Marawan Attia,EGY,MF,0,1,495
267,Adrien Rabiot,FRA,MF,0,1,503
268,Gustavo Puerta,COL,DF,0,1,520
269,Gabriel Magalhaes,BRA,DF,0,1,520
270,Timothy Castagne,BEL,DF,0,1,546
271,Mohamed Hany,EGY,DF,0,1,546
272,Ricardo Rodriguez,SUI,DF,0,1,567
273,Elliot Anderson,ENG,MF,0,1,588
274,Aymeric Laporte,ESP,DF,0,1,610
275,Aaron Tshibola,COD,MF,0,0,0
275,Achref Abada,ALG,DF,0,0,0
275,David Affengruber,AUT,DF,0,0,0
275,Aiman Yahya,KSA,FW,0,0,0
275,Mohamed Alaa,EGY,GK,0,0,0
275,Samet Akaydin,TUR,DF,0,0,0
275,Nawaf Alaqidi,KSA,GK,0,0,0
275,Abdallah Alfakhori,JOR,GK,0,0,0
275,Ziyad Aljohani,KSA,MF,0,0,0
275,Ahmed Alkassar,KSA,GK,0,0,0
275,Saleh Alshehri,KSA,FW,0,0,0
275,Nabil Donga,EGY,MF,0,0,0
275,Aurele Amenda,SUI,DF,0,0,0
275,Joseph Anang,GHA,GK,0,0,0
275,Ronald Araujo,URU,DF,0,0,0
275,Jeremy Arevalo,ECU,FW,0,0,0
275,Adam Arous,TUN,DF,0,0,0
275,Khalil Ayari,TUN,MF,0,0,0
275,Christopher Bonsu Baah,GHA,FW,0,0,0
275,Anas Badawi,JOR,DF,0,0,0
275,Bae Junho,KOR,MF,0,0,0
275,Nour Baniateyah,JOR,GK,0,0,0
275,Kosta Barbarouses,NZL,FW,0,0,0
275,Meshaal Barsham,QAT,GK,0,0,0
275,Dylan Batubinsika,COD,DF,0,0,0
275,Oliver Baumann,GER,GK,0,0,0
275,Altay Bayindir,TUR,GK,0,0,0
275,Lachlan Bayliss,NZL,MF,0,0,0
275,Youssef Belammari,MAR,DF,0,0,0
275,Sabri Ben Hessen,TUN,GK,0,0,0
275,Goncalo Inacio,POR,DF,0,0,0
275,Augustine Boakye,GHA,MF,0,0,0
275,Tyrick Bodak,CUW,GK,0,0,0
275,Chris Brady,USA,GK,0,0,0
275,Marcio Rosa,CPV,GK,0,0,0
275,Santiago Bueno,URU,DF,0,0,0
275,Duje Caleta Car,CRO,DF,0,0,0
275,Jorge Carrascal,COL,MF,0,0,0
275,Adalberto Carrasquilla,PAN,MF,0,0,0
275,Denil Castillo,ECU,MF,0,0,0
275,Sipho Chaine,RSA,GK,0,0,0
275,Trevoh Chalobah,ENG,DF,0,0,0
275,Roozbeh Cheshmi,IRN,MF,0,0,0
275,Raed Chikhaoui,TUN,DF,0,0,0
275,Cho Wije,KOR,DF,0,0,0
275,Logan Costa,CPV,DF,0,0,0
275,Bradley Cross,RSA,DF,0,0,0
275,Rui Silva,POR,GK,0,0,0
275,Dennis Dargahi,IRN,FW,0,0,0
275,Giorgian De Arrascaeta,URU,MF,0,0,0
275,Koni De Winter,BEL,DF,0,0,0
275,Zeno Debast,BEL,DF,0,0,0
275,Milos Degenek,AUS,DF,0,0,0
275,Cameron Devlin,AUS,MF,0,0,0
275,Yehvann Diouf,SEN,GK,0,0,0
275,Willer Ditta,COL,DF,0,0,0
275,Trevor Doornbusch,CUW,GK,0,0,0
275,Stopira,CPV,DF,0,0,0
275,Josue Duverger,HAI,GK,0,0,0
275,Hjalmar Ekdal,SWE,DF,0,0,0
275,Tarek Alaa,EGY,DF,0,0,0
275,Rayan Elloumi,TUN,FW,0,0,0
275,Matthieu Epolo,COD,GK,0,0,0
275,Botirali Ergashev,UZB,GK,0,0,0
275,Martin Erlic,CRO,DF,0,0,0
275,Umar Eshmurodov,UZB,DF,0,0,0
275,Edgardo Farina,PAN,DF,0,0,0
275,Timothy Fayulu,COD,GK,0,0,0
275,Kevin Felida,CUW,MF,0,0,0
275,Gatito Fernandez,PAR,GK,0,0,0
275,Mark Flekken,NED,GK,0,0,0
275,Tyler Fletcher,SCO,MF,0,0,0
275,Toni Fruk,CRO,MF,0,0,0
275,Goncalo Guedes,POR,FW,0,0,0
275,Eric Garcia,ESP,DF,0,0,0
275,Joan Garcia,ESP,GK,0,0,0
275,Lutsharel Geertruida,NED,DF,0,0,0
275,Jose Maria Gimenez,URU,DF,0,0,0
275,Owen Goodman,CAN,GK,0,0,0
275,Craig Gordon,SCO,GK,0,0,0
275,Ricardo Goss,RSA,GK,0,0,0
275,Alex Grimaldo,ESP,DF,0,0,0
275,Parfait Guiagon,CIV,MF,0,0,0
275,Mert Gunok,TUR,GK,0,0,0
275,Rajaei Ayed,JOR,MF,0,0,0
275,Salah Zakaria,QAT,GK,0,0,0
275,Dean Henderson,ENG,GK,0,0,0
275,Lucas Hernandez,FRA,DF,0,0,0
275,George Hirst,SCO,FW,0,0,0
275,Lukas Hornicek,CZE,GK,0,0,0
275,Hossein Hosseini,IRN,GK,0,0,0
275,Dominic Hyam,SCO,DF,0,0,0
275,Mahdy Soliman,EGY,GK,0,0,0
275,Danial Iri,IRN,DF,0,0,0
275,Paul Izzo,AUS,GK,0,0,0
275,Kristijan Jakic,CRO,DF,0,0,0
275,Tahsin Mohammed,QAT,FW,0,0,0
275,Jo Hyeonwoo,KOR,GK,0,0,0
275,Viktor Johansson,SWE,GK,0,0,0
275,Herman Johansson,SWE,DF,0,0,0
275,Alfie Jones,CAN,DF,0,0,0
275,David Jurasek,CZE,DF,0,0,0
275,Mladen Jurkas,BIH,GK,0,0,0
275,Samukele Kabini,RSA,DF,0,0,0
275,Gael Kakuta,COD,FW,0,0,0
275,Ngolo Kante,FRA,MF,0,0,0
275,Marvin Keller,SUI,GK,0,0,0
275,Liam Kelly,SCO,GK,0,0,0
275,Kim Taehyeon,KOR,DF,0,0,0
275,Mohamed Kone,CIV,GK,0,0,0
275,Dominik Kotarski,CRO,GK,0,0,0
275,Jan Kuchta,CZE,FW,0,0,0
275,Markhus Lacroix,HAI,DF,0,0,0
275,Lee Donggyeong,KOR,MF,0,0,0
275,Dejan Ljubicic,AUT,MF,0,0,0
275,Hassan Kadish,KSA,DF,0,0,0
275,Kobbie Mainoo,ENG,MF,0,0,0
275,Ali Majrashi,KSA,DF,0,0,0
275,Olwethu Makhanya,RSA,DF,0,0,0
275,Jose Sa,POR,GK,0,0,0
275,Arjany Martha,CUW,MF,0,0,0
275,Emiliano Martinez,URU,MF,0,0,0
275,Melvin Mastil,ALG,GK,0,0,0
275,Thabang Matuludi,RSA,DF,0,0,0
275,Luis Mejia,PAN,GK,0,0,0
275,Santiago Mele,URU,GK,0,0,0
275,Antoine Mendy,SEN,DF,0,0,0
275,Garven Metusala,HAI,DF,0,0,0
275,Roderick Miller,PAN,DF,0,0,0
275,Alvaro Montero,COL,GK,0,0,0
275,Nikola Moro,CRO,MF,0,0,0
275,Nihad Mujakic,BIH,DF,0,0,0
275,Victor Munoz,ESP,FW,0,0,0
275,Mohammed Muntari,QAT,FW,0,0,0
275,Khulumani Ndamane,RSA,DF,0,0,0
275,Cherif Ndiaye,SEN,FW,0,0,0
275,Evan Ndicka,CIV,DF,0,0,0
275,Moutaz Neffati,TUN,DF,0,0,0
275,Payam Niazmand,IRN,GK,0,0,0
275,Alexander Nuebel,GER,GK,0,0,0
275,Gaston Olveira,PAR,GK,0,0,0
275,Keisuke Osako,JPN,GK,0,0,0
275,David Ospina,COL,GK,0,0,0
275,Assan Ouedraogo,GER,MF,0,0,0
275,Ivor Pandur,CRO,GK,0,0,0
275,Wilguens Paugain,HAI,DF,0,0,0
275,Alex Paulsen,NZL,GK,0,0,0
275,Facundo Pellistri,URU,FW,0,0,0
275,Patrick Pentz,AUT,GK,0,0,0
275,Leo Pereira,BRA,DF,0,0,0
275,Alexandre Pierre,HAI,GK,0,0,0
275,Woodensky Pierre,HAI,MF,0,0,0
275,Nando Pijnaker,NZL,DF,0,0,0
275,Joaquin Piquerez,URU,MF,0,0,0
275,Juan Portilla,COL,MF,0,0,0
275,Fahad Talib,IRQ,GK,0,0,0
275,Moises Ramirez,ECU,GK,0,0,0
275,David Raya,ESP,GK,0,0,0
275,Amirmohammad Razaghinia,IRN,MF,0,0,0
275,Robin Roefs,NED,GK,0,0,0
275,Logan Rogerson,NZL,FW,0,0,0
275,Cristian Roldan,USA,MF,0,0,0
275,Alex Rufer,NZL,MF,0,0,0
275,Geronimo Rulli,ARG,GK,0,0,0
275,Ibrahim Sadeh,JOR,MF,0,0,0
275,Carl Sainte,HAI,MF,0,0,0
275,Brice Samba,FRA,GK,0,0,0
275,Cesar Samudio,PAN,GK,0,0,0
275,Ederson,BRA,GK,0,0,0
275,Mamadou Sarr,SEN,DF,0,0,0
275,Alessandro Schoepf,AUT,MF,0,0,0
275,Bremer,BRA,DF,0,0,0
275,Eric Smith,SWE,DF,0,0,0
275,Hugo Sochurek,CZE,MF,0,0,0
275,Song Bumkeun,KOR,GK,0,0,0
275,John Souttar,SCO,DF,0,0,0
275,Kelvin Pires,CPV,DF,0,0,0
275,Dayne St Clair,CAN,GK,0,0,0
275,Jindrich Stanek,CZE,GK,0,0,0
275,Abdul Mumin,GHA,DF,0,0,0
275,Michael Svoboda,AUT,DF,0,0,0
275,Ahmed Reda Tagnaouti,MAR,GK,0,0,0
275,Mohammad Abughoush,JOR,MF,0,0,0
275,Sander Tangvik,NOR,GK,0,0,0
275,Keeto Thermoncy,HAI,DF,0,0,0
275,Jehad Thikri,KSA,DF,0,0,0
275,Yassine Titraoui,ALG,MF,0,0,0
275,Ivan Toney,ENG,FW,0,0,0
275,Mohamed Amine Tougai,ALG,DF,0,0,0
275,James Trafford,ENG,GK,0,0,0
275,Avazbek Ulmasaliyev,UZB,DF,0,0,0
275,Anthony Valencia,ECU,MF,0,0,0
275,Gonzalo Valle,ECU,GK,0,0,0
275,Ben Waine,NZL,FW,0,0,0
275,Joel Waterman,CAN,DF,0,0,0
275,Mats Wieffer,NED,DF,0,0,0
275,Florian Wiegele,AUT,GK,0,0,0
275,Michael Woud,NZL,GK,0,0,0
275,Cesar Yanis,PAN,MF,0,0,0
275,Rodrigo Zalazar,URU,MF,0,0,0
275,Martin Zlomislic,BIH,GK,0,0,0
275,Martin Zubimendi,ESP,MF,0,0,0
510,Fabian Balbuena,PAR,DF,0,0,0
512,Baba Rahman,GHA,DF,0,0,1
513,Borja Iglesias,ESP,FW,0,0,1
514,Marcus Thuram,FRA,FW,0,0,2
515,Mathew Ryan,AUS,GK,0,0,2
516,Max Arfsten,USA,DF,0,0,2
517,Yerry Mina,COL,DF,0,0,2
518,Fares Ghedjemis,ALG,FW,0,0,2
519,Sherzod Esanov,UZB,MF,0,0,3
520,Marc Pubill,ESP,DF,0,0,3
522,Matheus Nunes,POR,MF,0,0,4
523,Haji Wright,USA,FW,0,0,4
524,Gustaf Nilsson,SWE,FW,0,0,5
525,Brandley Kuwas,CUW,FW,0,0,6
526,Shurandy Sambo,CUW,DF,0,0,6
527,Ibrahim Adel,EGY,FW,0,0,7
528,Irfan Can Kahveci,TUR,FW,0,0,7
529,Ross Stewart,SCO,FW,0,0,7
530,Andres Gomez,COL,FW,0,0,7
531,Rodrigo Aguirre,URU,FW,0,0,8
532,Khalid Alghannam,KSA,FW,0,0,8
533,Alberto Quintero,PAN,MF,0,0,8
534,Maghnes Akliouche,FRA,MF,0,0,10
535,Carl Starfelt,SWE,DF,0,0,10
536,Gedeon Kalulu,COD,DF,0,0,10
537,Marten De Roon,NED,MF,0,0,11
538,Anibal Godoy,PAN,MF,0,0,11
540,Keisuke Goto,JPN,FW,0,0,11
541,Ollie Watkins,ENG,FW,0,0,12
542,Mohammad Abuzraiq,JOR,FW,0,0,12
543,Godfried Roemeratoe,CUW,MF,0,0,12
544,Christian Fassnacht,SUI,FW,0,0,12
546,Jens Petter Hauge,NOR,MF,0,0,12
547,Amir Hadziahmetovic,BIH,MF,0,0,12
548,Mojmir Chytil,CZE,FW,0,0,12
549,Jayden Nelson,CAN,FW,0,0,12
550,Cesar Huerta,MEX,FW,0,0,12
552,Kento Shiogai,JPN,FW,0,0,12
553,Felix Torres,ECU,DF,0,0,12
554,Lucas Mendes,QAT,DF,0,0,13
555,Mohammad Abuhasheesh,JOR,DF,0,0,13
556,Kamogelo Sebelebele,RSA,FW,0,0,13
557,Yassin Fortune,HAI,FW,0,0,13
559,Derrick Etienne,HAI,FW,0,0,14
560,Eric Davis,PAN,DF,0,0,14
561,Alex Sandro,BRA,DF,0,0,15
562,Caglar Soyuncu,TUR,DF,0,0,15
563,Mohammad Aldaoud,JOR,MF,0,0,15
564,Mohamed Abdelmoneim,EGY,DF,0,0,15
565,Assane Diao,SEN,FW,0,0,16
566,Bamba Dieng,SEN,FW,0,0,16
567,Jamshid Iskanderov,UZB,MF,0,0,16
568,Noa Lang,NED,FW,0,0,17
569,Yuito Suzuki,JPN,MF,0,0,17
570,Jonathan Osorio,CAN,MF,0,0,17
571,Callan Elliot,NZL,DF,0,0,18
572,Alejandro Romero Gamarra,PAR,FW,0,0,18
573,Guillermo Ochoa,MEX,GK,0,0,18
574,Alexis Vega,MEX,FW,0,0,18
575,Themba Zwane,RSA,MF,0,0,19
576,Jean Michael Seri,CIV,MF,0,0,19
577,David Zima,CZE,DF,0,0,19
578,Amer Jamous,JOR,MF,0,0,19
579,Ramon Sosa,PAR,MF,0,0,19
580,Tyrese Noslin,CUW,FW,0,0,19
581,Ibrahima Konate,FRA,DF,0,0,19
582,Mohanad Ali,IRQ,FW,0,0,20
583,Roshon Van Eijma,CUW,DF,0,0,20
584,Kenji Gorre,CUW,FW,0,0,20
585,Kendry Paez,ECU,MF,0,0,20
586,Findlay Curtis,SCO,FW,0,0,21
587,Armando Gonzalez,MEX,FW,0,0,21
588,Alphonso Davies,CAN,DF,0,0,22
589,Saed Alrosan,JOR,DF,0,0,22
591,Alex Zendejas,USA,FW,0,0,22
592,Zakaria El Ouahdi,MAR,DF,0,0,22
593,Simon Adingra,CIV,FW,0,0,22
594,Ken Sema,SWE,MF,0,0,22
595,Shuto Machino,JPN,FW,0,0,23
596,Luka Sucic,CRO,MF,0,0,23
597,Anthony Ralston,SCO,DF,0,0,23
598,Azizbek Amonov,UZB,FW,0,0,23
599,Pascal Gross,GER,MF,0,0,24
600,Valentin Barco,ARG,MF,0,0,24
601,Aimar Sher,IRQ,MF,0,0,24
602,Mustafa Saadoon,IRQ,DF,0,0,24
603,Almoez Ali,QAT,FW,0,0,24
604,Yang Hyunjun,KOR,MF,0,0,25
605,Haris Tabakovic,BIH,FW,0,0,25
606,Noah Okafor,SUI,FW,0,0,25
607,Samir Chergui,ALG,DF,0,0,25
608,Warren Zaire Emery,FRA,MF,0,0,25
609,Samu Costa,POR,DF,0,0,26
610,Senne Lammens,BEL,GK,0,0,26
611,Amirhossein Hosseinzadeh,IRN,FW,0,0,26
612,Dzenis Burnic,BIH,MF,0,0,27
613,Evann Guessand,CIV,FW,0,0,27
614,Mortadha Ben Ouanes,TUN,DF,0,0,27
615,Kevin Castano,COL,MF,0,0,28
616,Adil Boulbina,ALG,FW,0,0,28
