squad_entry_id,player_id,team,shirt_number,is_captain,squad_status,verified_at,official_roster_source_url,caps_pre_tournament,goals_pre_tournament,notes
se_wc2026_arg_0f29048f,p_arg_nicolas_tagliafico_ed77a5b4,Argentina,3,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,76,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_c7b888d4,p_arg_gonzalo_montiel_aef86bee,Argentina,4,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,39,2,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_e3b95b76,p_arg_leandro_paredes_03c0d6ce,Argentina,5,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,77,5,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_60c33255,p_arg_lisandro_martinez_3b573d93,Argentina,6,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,28,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_26348bb2,p_arg_rodrigo_de_paul_8af82594,Argentina,7,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,87,2,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_6439d393,p_arg_valentin_barco_e3b78216,Argentina,8,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,4,2,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_435786e4,p_arg_julian_alvarez_797f95f2,Argentina,9,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,51,14,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_7882ea34,p_arg_lionel_messi_a65fe07a,Argentina,10,True,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,199,117,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_ea6916ca,p_arg_giovani_lo_celso_5503c556,Argentina,11,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,67,4,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_5505b52f,p_arg_geronimo_rulli_1f840d31,Argentina,12,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,8,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_f4793009,p_arg_cristian_romero_8fab5f9e,Argentina,13,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,51,3,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_c4ff3835,p_arg_exequiel_palacios_caaa7c6d,Argentina,14,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,40,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_70b8c701,p_arg_nicolas_gonzalez_fbfd120f,Argentina,15,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,51,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_c6a43972,p_arg_thiago_almada_3bc6dc24,Argentina,16,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,16,5,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_df58639a,p_arg_giuliano_simeone_9c448df8,Argentina,17,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,13,2,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_f23fa130,p_arg_nico_paz_80721f86,Argentina,18,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,9,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_0ce0d3eb,p_arg_nicolas_otamendi_3a1c796d,Argentina,19,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,132,8,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_448eaf4e,p_arg_alexis_mac_allister_5fb6c1df,Argentina,20,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,46,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_9c79e503,p_arg_jose_manuel_lopez_6501b924,Argentina,21,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,5,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_2668585e,p_arg_lautaro_martinez_6a845476,Argentina,22,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,77,37,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_2eda9fc7,p_arg_emiliano_martinez_c1a843dd,Argentina,23,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,59,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_d7c11e80,p_arg_enzo_fernandez_0572786a,Argentina,24,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,42,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_6cea0c40,p_arg_facundo_medina_5f424a87,Argentina,25,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,9,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_arg_c16ae2c0,p_arg_nahuel_molina_7f1b1e08,Argentina,26,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,58,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_c0950e19,p_aus_mathew_ryan_7abfe358,Australia,1,True,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,104,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_557b4360,p_aus_milos_degenek_d704a90d,Australia,2,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,57,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_6539aaad,p_aus_alessandro_circati_764625f7,Australia,3,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,13,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_83889a9c,p_aus_jacob_italiano_9d055542,Australia,4,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,5,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_6fd2c284,p_aus_jordan_bos_65625b94,Australia,5,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,27,4,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_1f16a559,p_aus_jason_geria_ca25f974,Australia,6,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,14,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_f2e7e9e9,p_aus_mathew_leckie_968e41a4,Australia,7,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,80,14,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_b829e2c9,p_aus_connor_metcalfe_12fb1964,Australia,8,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,36,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_acfd579a,p_aus_mohamed_toure_5cd1e876,Australia,9,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,10,2,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_5215a6cd,p_aus_ajdin_hrustic_175f7377,Australia,10,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,37,4,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_1e892486,p_aus_awer_mabil_1ac388bf,Australia,11,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,38,10,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_6a59e7f8,p_aus_paul_izzo_ec6eecbc,Australia,12,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,4,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_b8168bb0,p_aus_aiden_o_neill_efb600c3,Australia,13,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,31,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_3840d240,p_aus_kai_trewin_9d5c2757,Australia,15,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,6,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_26d2c8a8,p_aus_aziz_behich_63afe512,Australia,16,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,84,3,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_57d579db,p_aus_nestory_irankunda_230ebed8,Australia,17,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,15,5,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_a0e04664,p_aus_patrick_beach_622c4760,Australia,18,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_ebe1c444,p_aus_harry_souttar_af530958,Australia,19,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,38,11,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_e47bf663,p_aus_cristian_volpato_70261c9a,Australia,20,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_c6ae56fc,p_aus_cameron_burgess_86ce5eeb,Australia,21,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,27,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_31278519,p_aus_jackson_irvine_eeed0b95,Australia,22,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,82,14,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_f808aa9d,p_aus_nishan_velupillay_e473bc27,Australia,23,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,7,3,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_e5b195b2,p_aus_lucas_herrington_a104a4d8,Australia,25,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,4,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_253d793c,p_aus_tete_yengi_66f6414a,Australia,26,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_3eab82b5,p_aus_cameron_devlin_644bde9b,Australia,14,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,5,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aus_50c9161e,p_aus_paul_okon_jr_7510a440,Australia,24,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,6,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_7580a119,p_aut_alexander_schlager_b76cdc05,Austria,1,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,26,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_5c806a5a,p_aut_david_affengruber_571b6252,Austria,2,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_0c9d3db4,p_aut_kevin_danso_cc750167,Austria,3,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,32,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_d2d0d8f8,p_aut_xaver_schlager_dd1bd3e2,Austria,4,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,51,4,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_9280e3de,p_aut_stefan_posch_c4a93e0c,Austria,5,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,52,5,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_d351a6ce,p_aut_nicolas_seiwald_b34473c6,Austria,6,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,47,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_0cb50f83,p_aut_marko_arnautovic_b7235e69,Austria,7,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,133,47,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_af434e98,p_aut_david_alaba_cffaf421,Austria,8,True,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,113,15,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_440800c6,p_aut_marcel_sabitzer_51c8c5f3,Austria,9,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,98,26,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_c918ac05,p_aut_florian_grillitsch_988ef91c,Austria,10,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,58,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_2a1d8661,p_aut_michael_gregoritsch_79be7cb7,Austria,11,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,75,24,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_5e41e0a9,p_aut_florian_wiegele_29234ed6,Austria,12,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_625a6f6c,p_aut_patrick_pentz_a9b01b61,Austria,13,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,18,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_ddf3efd4,p_aut_sasa_kalajdzic_f722586c,Austria,14,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,22,4,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_1cdbc014,p_aut_philipp_lienhart_305d3a6e,Austria,15,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,41,3,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_fa265eb8,p_aut_carney_chukwuemeka_32cb323a,Austria,17,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,3,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_bd25f9ed,p_aut_romano_schmid_77d66729,Austria,18,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,34,3,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_2ae64b79,p_aut_konrad_laimer_c4a135d3,Austria,20,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,57,7,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_296279ad,p_aut_patrick_wimmer_f5d2cd91,Austria,21,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,30,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_9bc8f64d,p_aut_alexander_prass_f7961176,Austria,22,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,19,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_553c8c89,p_aut_marco_friedl_505f4d47,Austria,23,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,11,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_41f31e47,p_aut_paul_wanner_29e4edc7,Austria,24,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,3,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_ac5ac704,p_aut_michael_svoboda_55a6a7fb,Austria,25,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,4,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_56f7bf0e,p_aut_alessandro_schopf_e931a5b8,Austria,26,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,35,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_aut_a4fbf4bc,p_aut_philipp_mwene_1f4fda7d,Austria,16,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,30,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_a85af559,p_bel_thibaut_courtois_040ad8d2,Belgium,1,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,109,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_430580e7,p_bel_zeno_debast_152d7cb9,Belgium,2,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,26,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_e9da4423,p_bel_arthur_theate_4ae5bb19,Belgium,3,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,33,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_a159391a,p_bel_brandon_mechele_04a8a44e,Belgium,4,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,9,1,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_c0915b4a,p_bel_maxim_de_cuyper_2dacb3ff,Belgium,5,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,19,4,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_ee911552,p_bel_axel_witsel_f3fb6771,Belgium,6,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,138,12,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_b731ed83,p_bel_kevin_de_bruyne_2ab46ffa,Belgium,7,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,119,37,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_4c60a354,p_bel_youri_tielemans_f3e11248,Belgium,8,True,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,85,13,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_fbcc404e,p_bel_romelu_lukaku_bf4c275e,Belgium,9,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,126,90,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_84fd5ab2,p_bel_leandro_trossard_e88bad80,Belgium,10,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,51,12,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_c62cc5b5,p_bel_jeremy_doku_db4a6a04,Belgium,11,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,43,7,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_8467012d,p_bel_senne_lammens_578abff0,Belgium,12,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_181b6498,p_bel_mike_penders_44bb081c,Belgium,13,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,0,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_156c47d7,p_bel_dodi_lukebakio_554fff42,Belgium,14,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,30,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_725468b6,p_bel_thomas_meunier_3aff17d3,Belgium,15,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,80,10,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_34a0eb04,p_bel_koni_de_winter_2ec1bedb,Belgium,16,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,8,0,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_2d2e73c3,p_bel_charles_de_ketelaere_ca23ee0b,Belgium,17,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,30,6,confirmed on FIFA final squad list via Wikipedia squads page
se_wc2026_bel_b95ede06,p_bel_joaquin_seys_c2326a15,Belgium,18,False,active,2026-07-12,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,5,0,confirmed on FIFA final squad list via Wikipedia squads page
